#item+conceptum+codicem,#item+rem+i_zxx+is_latn+ix_iso1524a,#item+rem+i_zxx+is_zmth+ix_iso1524n,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn
015,Pcun,015,Proto-Cuneiform,proto-cunéiforme
016,Pelm,016,Proto-Elamite,proto-élamite
020,Xsux,020,"Cuneiform, Sumero-Akkadian",cunéiforme suméro-akkadien
030,Xpeo,030,Old Persian,cunéiforme persépolitain
040,Ugar,040,Ugaritic,ougaritique
050,Egyp,050,Egyptian hieroglyphs,hiéroglyphes égyptiens
060,Egyh,060,Egyptian hieratic,hiératique égyptien
070,Egyd,070,Egyptian demotic,démotique égyptien
080,Hluw,080,"Anatolian Hieroglyphs (Luwian Hieroglyphs, Hittite Hieroglyphs)","hiéroglyphes anatoliens (hiéroglyphes louvites, hiéroglyphes hittites)"
085,Nkdb,085,"Naxi Dongba (na²¹ɕi³³ to³³ba²¹, Nakhi Tomba)",naxi dongba
090,Maya,090,Mayan hieroglyphs,hiéroglyphes mayas
095,Sgnw,095,SignWriting,"SignÉcriture, SignWriting"
100,Mero,100,Meroitic Hieroglyphs,hiéroglyphes méroïtiques
101,Merc,101,Meroitic Cursive,cursif méroïtique
103,Psin,103,Proto-Sinaitic,proto-sinaïtique
105,Sarb,105,Old South Arabian,"sud-arabique, himyarite"
106,Narb,106,Old North Arabian (Ancient North Arabian),nord-arabique
109,Chrs,109,Chorasmian,chorasmien
115,Phnx,115,Phoenician,phénicien
116,Lydi,116,Lydian,lydien
120,Tfng,120,Tifinagh (Berber),tifinagh (berbère)
123,Samr,123,Samaritan,samaritain
124,Armi,124,Imperial Aramaic,araméen impérial
125,Hebr,125,Hebrew,hébreu
126,Palm,126,Palmyrene,palmyrénien
127,Hatr,127,Hatran,hatrénien
128,Elym,128,Elymaic,élymaïque
130,Prti,130,Inscriptional Parthian,parthe des inscriptions
131,Phli,131,Inscriptional Pahlavi,pehlevi des inscriptions
132,Phlp,132,Psalter Pahlavi,pehlevi des psautiers
133,Phlv,133,Book Pahlavi,pehlevi des livres
134,Avst,134,Avestan,avestique
135,Syrc,135,Syriac,syriaque
136,Syrn,136,Syriac (Eastern variant),syriaque (variante orientale)
137,Syrj,137,Syriac (Western variant),syriaque (variante occidentale)
138,Syre,138,Syriac (Estrangelo variant),syriaque (variante estranghélo)
139,Mani,139,Manichaean,manichéen
140,Mand,140,"Mandaic, Mandaean",mandéen
141,Sogd,141,Sogdian,sogdien
142,Sogo,142,Old Sogdian,ancien sogdien
143,Ougr,143,Old Uyghur,ancien ouïgour
145,Mong,145,Mongolian,mongol
159,Nbat,159,Nabataean,nabatéen
160,Arab,160,Arabic,arabe
161,Aran,161,Arabic (Nastaliq variant),arabe (variante nastalique)
165,Nkoo,165,N’Ko,n’ko
166,Adlm,166,Adlam,adlam
167,Rohg,167,Hanifi Rohingya,hanifi rohingya
170,Thaa,170,Thaana,thâna
175,Orkh,175,"Old Turkic, Orkhon Runic",orkhon
176,Hung,176,Old Hungarian (Hungarian Runic),runes hongroises (ancien hongrois)
192,Yezi,192,Yezidi,yézidi
200,Grek,200,Greek,grec
201,Cari,201,Carian,carien
202,Lyci,202,Lycian,lycien
204,Copt,204,Coptic,copte
206,Goth,206,Gothic,gotique
210,Ital,210,"Old Italic (Etruscan, Oscan, etc.)","ancien italique (étrusque, osque, etc.)"
211,Runr,211,Runic,runique
212,Ogam,212,Ogham,ogam
215,Latn,215,Latin,latin
216,Latg,216,Latin (Gaelic variant),latin (variante gaélique)
217,Latf,217,Latin (Fraktur variant),latin (variante brisée)
218,Moon,218,"Moon (Moon code, Moon script, Moon type)",écriture Moon
219,Osge,219,Osage,osage
220,Cyrl,220,Cyrillic,cyrillique
221,Cyrs,221,Cyrillic (Old Church Slavonic variant),cyrillique (variante slavonne)
225,Glag,225,Glagolitic,glagolitique
226,Elba,226,Elbasan,elbasan
227,Perm,227,Old Permic,ancien permien
228,Vith,228,Vithkuqi,vithkuqi
230,Armn,230,Armenian,arménien
239,Aghb,239,Caucasian Albanian,aghbanien
240,Geor,240,Georgian (Mkhedruli and Mtavruli),géorgien (mkhédrouli et mtavrouli)
241,Geok,241,Khutsuri (Asomtavruli and Nuskhuri),khoutsouri (assomtavrouli et nouskhouri)
250,Dsrt,250,Deseret (Mormon),déseret (mormon)
259,Bass,259,Bassa Vah,bassa
260,Osma,260,Osmanya,osmanais
261,Olck,261,"Ol Chiki (Ol Cemet’, Ol, Santali)",ol tchiki
262,Wara,262,Warang Citi (Varang Kshiti),warang citi
263,Pauc,263,Pau Cin Hau,paou chin haou
264,Mroo,264,"Mro, Mru",mro
265,Medf,265,"Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)",médéfaïdrine
274,Sunu,274,Sunuwar,sunuwar
275,Tnsa,275,Tangsa,tangsa
280,Visp,280,Visible Speech,parole visible
281,Shaw,281,Shavian (Shaw),shavien (Shaw)
282,Plrd,282,Miao (Pollard),miao (Pollard)
283,Wcho,283,Wancho,wantcho
284,Jamo,284,Jamo (alias for Jamo subset of Hangul),jamo (alias pour le sous-ensemble jamo du hangûl)
285,Bopo,285,Bopomofo,bopomofo
286,Hang,286,"Hangul (Hangŭl, Hangeul)","hangûl (hangŭl, hangeul)"
287,Kore,287,Korean (alias for Hangul + Han),coréen (alias pour hangûl + han)
288,Kits,288,Khitan small script,petite écriture khitan
290,Teng,290,Tengwar,tengwar
291,Cirt,291,Cirth,cirth
292,Sara,292,Sarati,sarati
293,Piqd,293,Klingon (KLI pIqaD),klingon (pIqaD du KLI)
294,Toto,294,Toto,toto
295,Nagm,295,Nag Mundari,nag mundari
300,Brah,300,Brahmi,brahma
302,Sidd,302,"Siddham, Siddhaṃ, Siddhamātṛkā",siddham
303,Ranj,303,Ranjana,ranjana
305,Khar,305,Kharoshthi,kharochthî
310,Guru,310,Gurmukhi,gourmoukhî
311,Nand,311,Nandinagari,nandinâgarî
312,Gong,312,Gunjala Gondi,gunjala gondî
313,Gonm,313,Masaram Gondi,masaram gondî
314,Mahj,314,Mahajani,mahâjanî
315,Deva,315,Devanagari (Nagari),dévanâgarî
316,Sylo,316,Syloti Nagri,sylotî nâgrî
317,Kthi,317,Kaithi,kaithî
318,Sind,318,"Khudawadi, Sindhi","khoudawadî, sindhî"
319,Shrd,319,"Sharada, Śāradā","charada, shard"
320,Gujr,320,Gujarati,goudjarâtî (gujrâtî)
321,Takr,321,"Takri, Ṭākrī, Ṭāṅkrī",tâkrî
322,Khoj,322,Khojki,khojkî
323,Mult,323,Multani,multanî
324,Modi,324,"Modi, Moḍī",modî
325,Beng,325,Bengali (Bangla),bengalî (bangla)
326,Tirh,326,Tirhuta,tirhouta
327,Orya,327,Oriya (Odia),oriyâ (odia)
328,Dogr,328,Dogra,dogra
329,Soyo,329,Soyombo,soyombo
330,Tibt,330,Tibetan,tibétain
331,Phag,331,Phags-pa,’phags pa
332,Marc,332,Marchen,marchen
333,Newa,333,"Newa, Newar, Newari, Nepāla lipi","néwa, néwar, néwari, nepāla lipi"
334,Bhks,334,Bhaiksuki,bhaïksukî
335,Lepc,335,Lepcha (Róng),lepcha (róng)
336,Limb,336,Limbu,limbou
337,Mtei,337,"Meitei Mayek (Meithei, Meetei)",meitei mayek
338,Ahom,338,"Ahom, Tai Ahom",âhom
339,Zanb,339,"Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)",zanabazar quadratique
340,Telu,340,Telugu,télougou
342,Diak,342,Dives Akuru,dives akuru
343,Gran,343,Grantha,grantha
344,Saur,344,Saurashtra,saurachtra
345,Knda,345,Kannada,kannara (canara)
346,Taml,346,Tamil,tamoul
347,Mlym,347,Malayalam,malayâlam
348,Sinh,348,Sinhala,singhalais
349,Cakm,349,Chakma,chakma
350,Mymr,350,Myanmar (Burmese),birman
351,Lana,351,Tai Tham (Lanna),taï tham (lanna)
352,Thai,352,Thai,thaï
353,Tale,353,Tai Le,taï-le
354,Talu,354,New Tai Lue,nouveau taï-lue
355,Khmr,355,Khmer,khmer
356,Laoo,356,Lao,laotien
357,Kali,357,Kayah Li,kayah li
358,Cham,358,Cham,"cham (čam, tcham)"
359,Tavt,359,Tai Viet,taï viêt
360,Bali,360,Balinese,balinais
361,Java,361,Javanese,javanais
362,Sund,362,Sundanese,sundanais
363,Rjng,363,"Rejang (Redjang, Kaganga)",redjang (kaganga)
364,Leke,364,Leke,léké
365,Batk,365,Batak,batik
366,Maka,366,Makasar,makassar
367,Bugi,367,Buginese,bouguis
368,Kawi,368,Kawi,kawi
370,Tglg,370,"Tagalog (Baybayin, Alibata)","tagal (baybayin, alibata)"
371,Hano,371,Hanunoo (Hanunóo),hanounóo
372,Buhd,372,Buhid,bouhide
373,Tagb,373,Tagbanwa,tagbanoua
398,Sora,398,Sora Sompeng,sora sompeng
399,Lisu,399,Lisu (Fraser),lisu (Fraser)
400,Lina,400,Linear A,linéaire A
401,Linb,401,Linear B,linéaire B
402,Cpmn,402,Cypro-Minoan,syllabaire chypro-minoen
403,Cprt,403,Cypriot syllabary,syllabaire chypriote
410,Hira,410,Hiragana,hiragana
411,Kana,411,Katakana,katakana
412,Hrkt,412,Japanese syllabaries (alias for Hiragana + Katakana),syllabaires japonais (alias pour hiragana + katakana)
413,Jpan,413,Japanese (alias for Han + Hiragana + Katakana),japonais (alias pour han + hiragana + katakana)
420,Nkgb,420,"Naxi Geba (na²¹ɕi³³ gʌ²¹ba²¹, 'Na-'Khi ²Ggŏ-¹baw, Nakhi Geba)","naxi geba, nakhi geba"
430,Ethi,430,Ethiopic (Geʻez),"éthiopien (geʻez, guèze)"
435,Bamu,435,Bamum,bamoum
436,Kpel,436,Kpelle,kpèllé
437,Loma,437,Loma,loma
438,Mend,438,Mende Kikakui,mendé kikakui
439,Afak,439,Afaka,afaka
440,Cans,440,Unified Canadian Aboriginal Syllabics,syllabaire autochtone canadien unifié
445,Cher,445,Cherokee,tchérokî
450,Hmng,450,Pahawh Hmong,pahawh hmong
451,Hmnp,451,Nyiakeng Puachue Hmong,nyiakeng puachue hmong
460,Yiii,460,Yi,yi
