#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:288:2:101,101,Asunafo North Municipal,GH0101,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:102,102,Asunafo South,GH0102,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:103,103,Asutifi North,GH0103,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:104,104,Asutifi South,GH0104,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:105,105,Tano North Municipal,GH0105,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:106,106,Tano South Municipal,GH0106,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:201,201,Adansi Akrofuom,GH0201,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:202,202,Adansi Asokwa,GH0202,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:203,203,Adansi North,GH0203,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:204,204,Adansi South,GH0204,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:205,205,Afigya Kwabre North,GH0205,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:206,206,Afigya Kwabre South,GH0206,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:207,207,Ahafo Ano North,GH0207,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:208,208,Ahafo Ano South East,GH0208,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:209,209,Ahafo Ano South West,GH0209,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:210,210,Amansie Central,GH0210,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:211,211,Amansie South,GH0211,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:212,212,Amansie West,GH0212,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:213,213,Asante Akim Central Municipal,GH0213,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:214,214,Asante Akim North,GH0214,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:215,215,Asante Akim South,GH0215,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:216,216,Asokore Mampong Municipal,GH0216,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:217,217,Asokwa  Municipal,GH0217,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:218,218,Atwima Kwanwoma,GH0218,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:219,219,Atwima Mponua,GH0219,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:220,220,Atwima Nwabiagya North,GH0220,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:221,221,Atwima Nwabiagya South,GH0221,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:222,222,Bekwai Municipal,GH0222,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:223,223,Bosome Freho,GH0223,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:224,224,Bosomtwe,GH0224,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:225,225,Ejisu Municipal,GH0225,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:226,226,Ejura-Sekyedumase,GH0226,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:2:227,227,Juaben Municipal,GH0227,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
