#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:222:1:1,1,Ahuachapán,SV01,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:2,2,Cabañas,SV02,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:3,3,Chalatenango,SV03,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:4,4,Cuscatlán,SV04,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:5,5,La Libertad,SV05,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:6,6,La Paz,SV06,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:7,7,La Unión,SV07,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:8,8,Morazán,SV08,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:9,9,San Miguel,SV09,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:10,10,San Salvador,SV10,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:11,11,San Vicente,SV11,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:12,12,Santa Ana,SV12,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:13,13,Sonsonate,SV13,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:14,14,Usulután,SV14,,,,El Salvador,SV,2020-05-29,2021-02-08,
