#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:222:1:1,1,1603:45:16:222:0,1603:45:16:222:1:1,Ahuachapán,SV01,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:2,2,1603:45:16:222:0,1603:45:16:222:1:2,Cabañas,SV02,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:3,3,1603:45:16:222:0,1603:45:16:222:1:3,Chalatenango,SV03,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:4,4,1603:45:16:222:0,1603:45:16:222:1:4,Cuscatlán,SV04,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:5,5,1603:45:16:222:0,1603:45:16:222:1:5,La Libertad,SV05,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:6,6,1603:45:16:222:0,1603:45:16:222:1:6,La Paz,SV06,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:7,7,1603:45:16:222:0,1603:45:16:222:1:7,La Unión,SV07,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:8,8,1603:45:16:222:0,1603:45:16:222:1:8,Morazán,SV08,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:9,9,1603:45:16:222:0,1603:45:16:222:1:9,San Miguel,SV09,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:10,10,1603:45:16:222:0,1603:45:16:222:1:10,San Salvador,SV10,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:11,11,1603:45:16:222:0,1603:45:16:222:1:11,San Vicente,SV11,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:12,12,1603:45:16:222:0,1603:45:16:222:1:12,Santa Ana,SV12,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:13,13,1603:45:16:222:0,1603:45:16:222:1:13,Sonsonate,SV13,,,,El Salvador,SV,2020-05-29,2021-02-08,
1603:45:16:222:1:14,14,1603:45:16:222:0,1603:45:16:222:1:14,Usulután,SV14,,,,El Salvador,SV,2020-05-29,2021-02-08,
