#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_slk+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_slk+is_latn,#adm2+name+alt2+i_slk+is_latn,#adm1+name+i_slk+is_latn,#adm1+code+v_pcode,#country+name+i_slk+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:703:2:10001,10001,Bratislava I,SK010001,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:10002,10002,Bratislava II,SK010002,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:10003,10003,Bratislava III,SK010003,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:10004,10004,Bratislava IV,SK010004,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:10005,10005,Bratislava V,SK010005,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:10006,10006,Malacky,SK010006,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:10007,10007,Pezinok,SK010007,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:10008,10008,Senec,SK010008,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:21001,21001,Dunajská Streda,SK021001,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:21002,21002,Galanta,SK021002,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:21003,21003,Hlohovec,SK021003,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
