#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:218:1:1,1,1603:45:16:218:0,1603:45:16:218:1:1,Azuay,EC01,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:2,2,1603:45:16:218:0,1603:45:16:218:1:2,Bolivar,EC02,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:3,3,1603:45:16:218:0,1603:45:16:218:1:3,Cañar,EC03,Canar,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:4,4,1603:45:16:218:0,1603:45:16:218:1:4,Carchi,EC04,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:5,5,1603:45:16:218:0,1603:45:16:218:1:5,Cotopaxi,EC05,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:6,6,1603:45:16:218:0,1603:45:16:218:1:6,Chimborazo,EC06,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:7,7,1603:45:16:218:0,1603:45:16:218:1:7,El Oro,EC07,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:8,8,1603:45:16:218:0,1603:45:16:218:1:8,Esmeraldas,EC08,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:9,9,1603:45:16:218:0,1603:45:16:218:1:9,Guayas,EC09,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:10,10,1603:45:16:218:0,1603:45:16:218:1:10,Imbabura,EC10,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:11,11,1603:45:16:218:0,1603:45:16:218:1:11,Loja,EC11,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:12,12,1603:45:16:218:0,1603:45:16:218:1:12,Los Rios,EC12,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:13,13,1603:45:16:218:0,1603:45:16:218:1:13,Manabi,EC13,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:14,14,1603:45:16:218:0,1603:45:16:218:1:14,Morona Santiago,EC14,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:15,15,1603:45:16:218:0,1603:45:16:218:1:15,Napo,EC15,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:16,16,1603:45:16:218:0,1603:45:16:218:1:16,Pastaza,EC16,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:17,17,1603:45:16:218:0,1603:45:16:218:1:17,Pichincha,EC17,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:18,18,1603:45:16:218:0,1603:45:16:218:1:18,Tungurahua,EC18,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:19,19,1603:45:16:218:0,1603:45:16:218:1:19,Zamora Chinchipe,EC19,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:20,20,1603:45:16:218:0,1603:45:16:218:1:20,Galapagos,EC20,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:21,21,1603:45:16:218:0,1603:45:16:218:1:21,Sucumbios,EC21,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:22,22,1603:45:16:218:0,1603:45:16:218:1:22,Orellana,EC22,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:23,23,1603:45:16:218:0,1603:45:16:218:1:23,Santo Domingo de los Tsachilas,EC23,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:24,24,1603:45:16:218:0,1603:45:16:218:1:24,Santa Elena,EC24,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:1:90,90,1603:45:16:218:0,1603:45:16:218:1:90,Zona No Delimitada,EC90,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
