#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:604:2:101,101,1603:45:16:604:0,1603:45:16:604:1:1,1603:45:16:604:2:101,Chachapoyas,PE0101,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:102,102,1603:45:16:604:0,1603:45:16:604:1:1,1603:45:16:604:2:102,Bagua,PE0102,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:103,103,1603:45:16:604:0,1603:45:16:604:1:1,1603:45:16:604:2:103,Bongara,PE0103,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:104,104,1603:45:16:604:0,1603:45:16:604:1:1,1603:45:16:604:2:104,Condorcanqui,PE0104,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:105,105,1603:45:16:604:0,1603:45:16:604:1:1,1603:45:16:604:2:105,Luya,PE0105,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:106,106,1603:45:16:604:0,1603:45:16:604:1:1,1603:45:16:604:2:106,Rodriguez de Mendoza,PE0106,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:107,107,1603:45:16:604:0,1603:45:16:604:1:1,1603:45:16:604:2:107,Utcubamba,PE0107,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:201,201,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:201,Huaraz,PE0201,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:202,202,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:202,Aija,PE0202,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:203,203,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:203,Antonio Raymondi,PE0203,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:204,204,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:204,Asuncion,PE0204,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:205,205,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:205,Bolognesi,PE0205,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:206,206,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:206,Carhuaz,PE0206,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:207,207,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:207,Carlos Fermin Fitzcarrald,PE0207,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:208,208,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:208,Casma,PE0208,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:209,209,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:209,Corongo,PE0209,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
