#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:450:4:11101001001,11101001001,Antanimalalaka Analakely,MG11101001001,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001002,11101001002,Ambalavao Isotry,MG11101001002,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001003,11101001003,Ambatonakanga Ambohitsorohitra,MG11101001003,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001004,11101001004,Ambatovinaky,MG11101001004,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001005,11101001005,Soarano Ambondrona Ambodifilao,MG11101001005,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001006,11101001006,Ampandrana Ankadivato,MG11101001006,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001007,11101001007,Amparibe Ambohidahy Mahamasina,MG11101001007,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001008,11101001008,Amboasarikely Ambatomena,MG11101001008,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001009,11101001009,Anatihazo Isotry,MG11101001009,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001010,11101001010,Andavamamba Anatihazo I,MG11101001010,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001011,11101001011,Andavamamba Anatihazo II,MG11101001011,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001012,11101001012,Andavamamba Anjezika I,MG11101001012,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001013,11101001013,Andavamamba Anjezika II,MG11101001013,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001014,11101001014,Andohatapenaka I,MG11101001014,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001015,11101001015,Andohatapenaka II,MG11101001015,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001016,11101001016,Andohatapenaka IIi,MG11101001016,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001017,11101001017,Andranomanalina Afovoany,MG11101001017,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001018,11101001018,Andranomanalina I,MG11101001018,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001019,11101001019,Andranomanalina Isotry,MG11101001019,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001020,11101001020,Ankasina,MG11101001020,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001021,11101001021,Antetezanafovoany I,MG11101001021,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001022,11101001022,Antetezanafovoany II,MG11101001022,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001023,11101001023,Antohomadinika Afovoany,MG11101001023,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001024,11101001024,Antohomadinika Atsimo,MG11101001024,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001025,11101001025,Antohomadinika Avaratra Antani,MG11101001025,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001026,11101001026,Antohomadinika Antsalovana Faa,MG11101001026,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001027,11101001027,Antohomadinika IIig Hangar,MG11101001027,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001028,11101001028,Avaratetezana Bekiraro,MG11101001028,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001029,11101001029,Cite Ambodin'isotry,MG11101001029,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001030,11101001030,Cite Ampefiloha,MG11101001030,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001031,11101001031,67ha Afovoany Andrefana,MG11101001031,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001032,11101001032,67ha Atsimo,MG11101001032,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001033,11101001033,67ha Avaratra Andrefana,MG11101001033,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001034,11101001034,67ha Avaratra Atsinanana,MG11101001034,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001035,11101001035,Lalamby Sy Ny Manodidina,MG11101001035,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001036,11101001036,Faravohitra Ambony,MG11101001036,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001037,11101001037,Faravohitra Mandrosoa,MG11101001037,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001038,11101001038,Isoraka Ampatsakana,MG11101001038,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001039,11101001039,Fiata,MG11101001039,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001040,11101001040,Manarintsoa Afovoany,MG11101001040,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001041,11101001041,Manarintsoa Anatihazo,MG11101001041,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001042,11101001042,Manarintsoa Atsinanana,MG11101001042,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001043,11101001043,Manarintsoa Isotry,MG11101001043,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101001044,11101001044,Soarano Ambondrona Tsiazotafo,MG11101001044,,,,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002001,11101002001,Faliarivo Ambanidia,MG11101002001,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002002,11101002002,Antanimora Ampasanimalo,MG11101002002,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002003,11101002003,Antsahabe Ankorahotra Ankazoto,MG11101002003,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002004,11101002004,Ambohitsiroa Vn,MG11101002004,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002005,11101002005,Ankazotokana Ambony,MG11101002005,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002006,11101002006,Tsiadana,MG11101002006,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002007,11101002007,Volosarika Ambanidia,MG11101002007,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002008,11101002008,Andafiavaratra Ambavahadimitaf,MG11101002008,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002009,11101002009,Manjakamiadana Antsahondra AMB,MG11101002009,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002010,11101002010,Ambatoroka,MG11101002010,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002011,11101002011,Miandrarivo Ambanidia,MG11101002011,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002012,11101002012,Ambolokandrina 5a,MG11101002012,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002013,11101002013,Andohan'i Mandroseza Ambohibat,MG11101002013,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002014,11101002014,Ambohipo Tanana Ampahateza And,MG11101002014,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002015,11101002015,Ambohipotsy Ambohimitsimbina A,MG11101002015,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002016,11101002016,Andohamandry,MG11101002016,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002017,11101002017,Manakambahiny Ankerakely Ambat,MG11101002017,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002018,11101002018,Ambohimiandra Fenomanana Antsa,MG11101002018,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002019,11101002019,Mandroseza Afovoany Mandroseza,MG11101002019,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002020,11101002020,Mahazoarivo Ambohidraserika,MG11101002020,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002021,11101002021,Morarano Andrangaranga Ambatol,MG11101002021,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002022,11101002022,Ambohitsoa Ankazolava Antanamb,MG11101002022,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002023,11101002023,Androndrabe Ampamantanana Ambo,MG11101002023,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101002024,11101002024,Androndrakely Saropody Antonta,MG11101002024,,,,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003001,11101003001,Antaninandro Ampandrana,MG11101003001,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003002,11101003002,Ankorondrano Andranomahery,MG11101003002,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003003,11101003003,Ankorondrano Atsinanana,MG11101003003,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003004,11101003004,Ankorondrano Andrefana,MG11101003004,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003005,11101003005,Ankazomanga Andraharo,MG11101003005,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003006,11101003006,Ambodivona Ankadifotsy,MG11101003006,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003007,11101003007,Tsaramasay,MG11101003007,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003008,11101003008,Ankadifotsy Befelatanana,MG11101003008,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003009,11101003009,Ambohibary Antanimena,MG11101003009,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003010,11101003010,Andravoahangy Tsena,MG11101003010,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003011,11101003011,Mandialaza Ambodivona,MG11101003011,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003012,11101003012,Soavinandriana,MG11101003012,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003013,11101003013,Mandialaza Ankadifotsy,MG11101003013,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003014,11101003014,Antanimena,MG11101003014,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003015,11101003015,Ankadifotsy Antanifotsy,MG11101003015,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003016,11101003016,Ankaditapaka Avaratra,MG11101003016,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003017,11101003017,Mandialaza Ambatomitsangana,MG11101003017,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003018,11101003018,Andravoahangy Andrefana,MG11101003018,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003019,11101003019,Mahavoky,MG11101003019,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003020,11101003020,Andravoahangy Atsinanana,MG11101003020,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003021,11101003021,Behoririka Ambatomitsangana,MG11101003021,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003022,11101003022,Avaradoha,MG11101003022,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003023,11101003023,Ambatomitsangana,MG11101003023,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003024,11101003024,Behoririka Ankaditapaka,MG11101003024,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003025,11101003025,Betongolo,MG11101003025,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003026,11101003026,Ampandrana Besarety,MG11101003026,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003027,11101003027,Besarety,MG11101003027,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003028,11101003028,Behoririka,MG11101003028,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003029,11101003029,Ampandrana Andrefana,MG11101003029,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003030,11101003030,Ambohitrakely,MG11101003030,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003031,11101003031,Ampandrana Atsinanana,MG11101003031,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003032,11101003032,Ankadivato IIl,MG11101003032,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003033,11101003033,Ampahibe,MG11101003033,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101003034,11101003034,Antsakaviro Ambodirotra,MG11101003034,,,,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004001,11101004001,Andrefan'ambohijanahary IIIG-I,MG11101004001,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
