qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:474:2:101,101,1603:45:16:474:0,1603:45:16:474:1:1,1603:45:16:474:2:101,Fort-de-France,MQ0101,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:102,102,1603:45:16:474:0,1603:45:16:474:1:1,1603:45:16:474:2:102,Lamentin,MQ0102,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:103,103,1603:45:16:474:0,1603:45:16:474:1:1,1603:45:16:474:2:103,Saint-Joseph,MQ0103,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:104,104,1603:45:16:474:0,1603:45:16:474:1:1,1603:45:16:474:2:104,Schœlcher,MQ0104,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:201,201,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:201,Anses-d'arlet,MQ0201,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:202,202,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:202,Diamant,MQ0202,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:203,203,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:203,Ducos,MQ0203,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:204,204,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:204,François,MQ0204,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:205,205,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:205,Marin,MQ0205,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:206,206,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:206,Rivière-Pilote,MQ0206,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:207,207,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:207,Rivière-Salée,MQ0207,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:208,208,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:208,Sainte-Anne,MQ0208,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:209,209,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:209,Sainte-Luce,MQ0209,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:210,210,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:210,Saint-Esprit,MQ0210,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:211,211,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:211,Trois-Îlets,MQ0211,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:212,212,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:212,Vauclin,MQ0212,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:301,301,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:301,Bellefontaine,MQ0301,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:302,302,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:302,Carbet,MQ0302,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:303,303,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:303,Case-Pilote,MQ0303,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
