#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:474:2:101,101,1603:45:16:474:0,1603:45:16:474:1:1,1603:45:16:474:2:101,Fort-de-France,MQ0101,Fort-de-France,,,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:102,102,1603:45:16:474:0,1603:45:16:474:1:1,1603:45:16:474:2:102,Lamentin,MQ0102,Lamentin,,,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:103,103,1603:45:16:474:0,1603:45:16:474:1:1,1603:45:16:474:2:103,Saint-Joseph,MQ0103,Saint-Joseph,,,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:104,104,1603:45:16:474:0,1603:45:16:474:1:1,1603:45:16:474:2:104,Schœlcher,MQ0104,Schœlcher,,,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:201,201,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:201,Anses-d'arlet,MQ0201,Les Anses-dArlet,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:202,202,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:202,Diamant,MQ0202,Le Diamant,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:203,203,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:203,Ducos,MQ0203,Ducos,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:204,204,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:204,François,MQ0204,Francois,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:205,205,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:205,Marin,MQ0205,Marin,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:206,206,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:206,Rivière-Pilote,MQ0206,Riviere-Pilote,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:207,207,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:207,Rivière-Salée,MQ0207,Riviere-Salee,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:208,208,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:208,Sainte-Anne,MQ0208,Sainte-Anne,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:209,209,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:209,Sainte-Luce,MQ0209,Sainte-Luce,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:210,210,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:210,Saint-Esprit,MQ0210,Saint-Esprit,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:211,211,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:211,Trois-Îlets,MQ0211,Trois-Ilets,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:212,212,1603:45:16:474:0,1603:45:16:474:1:2,1603:45:16:474:2:212,Vauclin,MQ0212,Vauclin,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:301,301,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:301,Bellefontaine,MQ0301,Bellefontaine,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:302,302,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:302,Carbet,MQ0302,Carbet,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:303,303,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:303,Case-Pilote,MQ0303,Case-Pilote,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:304,304,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:304,Fonds-Saint-Denis,MQ0304,Fonds-Saint-Denis,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:305,305,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:305,Morne-Rouge,MQ0305,Morne-Rouge,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:306,306,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:306,Morne-Vert,MQ0306,Morne-Vert,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:307,307,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:307,Prêcheur,MQ0307,Precheur,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:308,308,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:308,Saint-Pierre,MQ0308,Saint-Pierre,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:401,401,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:401,Ajoupa-Bouillon,MQ0401,Ajoupa-Bouillon,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:402,402,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:402,Basse-Pointe,MQ0402,Basse-Pointe,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:403,403,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:403,Grand'Rivière,MQ0403,GrandRiviere,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:404,404,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:404,Gros-Morne,MQ0404,Gros-Morne,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:405,405,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:405,Lorrain,MQ0405,Lorrain,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:406,406,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:406,Macouba,MQ0406,Macouba,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:407,407,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:407,Marigot,MQ0407,Marigot,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:408,408,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:408,Robert,MQ0408,Robert,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:409,409,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:409,Sainte-Marie,MQ0409,Sainte-Marie,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:410,410,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:410,Trinité,MQ0410,Trinite,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
