#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:800:3:100101,100101,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100101,Buikwe,UG100101,,,,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100102,100102,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100102,KCCA,UG100102,,,,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100103,100103,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100103,Lugazi Municipality,UG100103,,,,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100104,100104,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100104,Njeru Municipality,UG100104,,,,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100201,100201,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1002,1603:45:16:800:3:100201,Bukomansimbi,UG100201,,,,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100301,100301,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1003,1603:45:16:800:3:100301,Butambala,UG100301,,,,Butambala,UG1003,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100401,100401,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1004,1603:45:16:800:3:100401,Buvuma Island,UG100401,,,,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100501,100501,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1005,1603:45:16:800:3:100501,Gomba,UG100501,,,,Gomba,UG1005,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100601,100601,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1006,1603:45:16:800:3:100601,Bujumba,UG100601,,,,Kalangala,UG1006,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100602,100602,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1006,1603:45:16:800:3:100602,Kyamuswa,UG100602,,,,Kalangala,UG1006,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100701,100701,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1007,1603:45:16:800:3:100701,Kalungu,UG100701,,,,Kalungu,UG1007,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100801,100801,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1008,1603:45:16:800:3:100801,KCCA,UG100801,,,,Kampala,UG1008,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:3:100901,100901,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1009,1603:45:16:800:3:100901,Kassanda,UG100901,,,,Kassanda,UG1009,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
