#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5001,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5000,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:398:2:234800,234800,1603:45:16:398:0,1603:45:16:398:1:23,1603:45:16:398:2:234800,Kyzylkoga,Қызылқоға ,Кзылкогинский,KZ234800,,,,,,,,Atyrau,Атырау ,Атырауская ,KZ23,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:235200,235200,1603:45:16:398:0,1603:45:16:398:1:23,1603:45:16:398:2:235200,Makat,Мақат ,Макатский,KZ235200,,,,,,,,Atyrau,Атырау ,Атырауская ,KZ23,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:235600,235600,1603:45:16:398:0,1603:45:16:398:1:23,1603:45:16:398:2:235600,Makhambet,Махамбет ,Махамбетский,KZ235600,,,,,,,,Atyrau,Атырау ,Атырауская ,KZ23,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:271000,271000,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:271000,Uralsk,Орал,Уральск,KZ271000,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:273200,273200,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:273200,Akzhaik,Ақжайық ,Акжаикский,KZ273200,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:273600,273600,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:273600,Burli,Бөрлі ,Бурлинский,KZ273600,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:274000,274000,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:274000,Zhanakala,Жаңақала ,Жангалинский,KZ274000,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:274200,274200,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:274200,Zhanybek,Жәнібек ,Жанибекский,KZ274200,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:274400,274400,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:274400,Baiterek,Бәйтерек,Байтерек,KZ274400,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:274800,274800,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:274800,Kaztalovka,Казталовка ,Казталовский,KZ274800,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:275000,275000,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:275000,Karatobe,Қаратөбе ,Каратобеский,KZ275000,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:275400,275400,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:275400,Bokeyorda,Бөкейордасы ,Бокейординский,KZ275400,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:275800,275800,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:275800,Syrym,Сырым ,Сырымский,KZ275800,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:276000,276000,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:276000,Taskala,Тасқала ,Таскалинский,KZ276000,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:276200,276200,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:276200,Terekti,Теректі ,Теректинский,KZ276200,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:276600,276600,1603:45:16:398:0,1603:45:16:398:1:27,1603:45:16:398:2:276600,Chingirlau,Шыңғырлау ,Чингирлауский,KZ276600,,,,,,,,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:311000,311000,1603:45:16:398:0,1603:45:16:398:1:31,1603:45:16:398:2:311000,Taraz ,Тараз ,Тараз,KZ311000,,,,,,,,Jambyl,Жамбыл ,Жамбылская ,KZ31,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:313600,313600,1603:45:16:398:0,1603:45:16:398:1:31,1603:45:16:398:2:313600,Bayzak,Байзақ ,Байзакский,KZ313600,,,,,,,,Jambyl,Жамбыл ,Жамбылская ,KZ31,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:314000,314000,1603:45:16:398:0,1603:45:16:398:1:31,1603:45:16:398:2:314000,Jambyl,Жамбыл ,Жамбылский,KZ314000,,,,,,,,Jambyl,Жамбыл ,Жамбылская ,KZ31,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:314200,314200,1603:45:16:398:0,1603:45:16:398:1:31,1603:45:16:398:2:314200,Zhualy,Жуалы ,Жуалынский,KZ314200,,,,,,,,Jambyl,Жамбыл ,Жамбылская ,KZ31,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:314800,314800,1603:45:16:398:0,1603:45:16:398:1:31,1603:45:16:398:2:314800,Korday,Қордай ,Кордайский,KZ314800,,,,,,,,Jambyl,Жамбыл ,Жамбылская ,KZ31,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:315000,315000,1603:45:16:398:0,1603:45:16:398:1:31,1603:45:16:398:2:315000,Turar Ryskulov,Тұрар Рысқұлов ,Турар Рыскулов,KZ315000,,,,,,,,Jambyl,Жамбыл ,Жамбылская ,KZ31,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:315400,315400,1603:45:16:398:0,1603:45:16:398:1:31,1603:45:16:398:2:315400,Merke,Мерке ,Меркенский,KZ315400,,,,,,,,Jambyl,Жамбыл ,Жамбылская ,KZ31,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:315600,315600,1603:45:16:398:0,1603:45:16:398:1:31,1603:45:16:398:2:315600,Moiynkum,Мойынқұм ,Мойынкумский,KZ315600,,,,,,,,Jambyl,Жамбыл ,Жамбылская ,KZ31,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:316000,316000,1603:45:16:398:0,1603:45:16:398:1:31,1603:45:16:398:2:316000,Sarysu,Сарысу ,Сарысуский,KZ316000,,,,,,,,Jambyl,Жамбыл ,Жамбылская ,KZ31,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:316200,316200,1603:45:16:398:0,1603:45:16:398:1:31,1603:45:16:398:2:316200,Talas,Талас ,Таласский,KZ316200,,,,,,,,Jambyl,Жамбыл ,Жамбылская ,KZ31,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:316600,316600,1603:45:16:398:0,1603:45:16:398:1:31,1603:45:16:398:2:316600,Shu,Шу ,Шуский,KZ316600,,,,,,,,Jambyl,Жамбыл ,Жамбылская ,KZ31,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:351000,351000,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:351000,Karaganda,Қарағанды ,Караганда,KZ351000,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:351600,351600,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:351600,Balkhash ,Балқаш,Балхаш ,KZ351600,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:351800,351800,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:351800,Zhezkazgan ,Жезқазған ,Жезказган ,KZ351800,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:352000,352000,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:352000,Karazhal ,Қаражал ,Каражал ,KZ352000,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:352100,352100,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:352100,Priozersk ,Приозер ,Приозерск ,KZ352100,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:352200,352200,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:352200,Saran' ,Саран,Сарань ,KZ352200,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:352300,352300,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:352300,Satpaev ,Сәтбаев ,Сатпаев ,KZ352300,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:352400,352400,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:352400,Temirtau ,Теміртау ,Темиртау ,KZ352400,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:352800,352800,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:352800,Shakhtinsk ,Шахтинск ,Шахтинск ,KZ352800,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:353200,353200,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:353200,Abay,Абай ,Абайский,KZ353200,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:353600,353600,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:353600,Aktogay,Ақтоғай ,Актогайский,KZ353600,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:354000,354000,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:354000,Bukhar-Zhyrau,Бұқар жырау ,Бухар-Жырауский,KZ354000,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:354400,354400,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:354400,Zhanaarka,Жаңаарқа ,Жанааркинский,KZ354400,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:354800,354800,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:354800,Karkaraly,Қарқаралы ,Каркаралинский,KZ354800,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:355200,355200,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:355200,Nura,Нұра ,Нуринский,KZ355200,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:355600,355600,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:355600,Osakarov,Осакаров ,Осакаровский,KZ355600,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:356000,356000,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:356000,Ulytau,Ұлытау ,Улытауский,KZ356000,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:356400,356400,1603:45:16:398:0,1603:45:16:398:1:35,1603:45:16:398:2:356400,Shet,Шет ,Шетский,KZ356400,,,,,,,,Karagandy,Қарағанды ,Карагандинская ,KZ35,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:391000,391000,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:391000,Kostanay,Қостанай ,Костанай,KZ391000,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:391600,391600,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:391600,Arkalyk ,Арқалық ,Аркалык ,KZ391600,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:392000,392000,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:392000,Lisakovsk ,Лисаковск ,Лисаковск ,KZ392000,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:392400,392400,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:392400,Rudnyy ,Рудный ,Рудный ,KZ392400,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:393200,393200,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:393200,Altynsarin,Алтынсарин ,Алтынсаринский,KZ393200,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:393400,393400,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:393400,Amangeldi,Амангелді ,Амангельдинский,KZ393400,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:393600,393600,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:393600,Auliekol,Әулиекөл ,Аулиекольский,KZ393600,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:394000,394000,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:394000,Denisov,Денисов ,Денисовский,KZ394000,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:394200,394200,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:394200,Zhangeldi,Жангелдин ,Джангельдинский,KZ394200,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:394400,394400,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:394400,Zhetikara,Жітіқара ,Житикаринский,KZ394400,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:394800,394800,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:394800,Kamysty,Қамысты ,Камыстинский,KZ394800,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:395000,395000,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:395000,Karabalyk,Қарабалық ,Карабалыкский,KZ395000,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:395200,395200,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:395200,Karasu,Қарасу ,Карасуский,KZ395200,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:395400,395400,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:395400,Kostanay,Қостанай ,Костанайский,KZ395400,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:395600,395600,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:395600,Mendykara,Меңдіқара ,Мендыкаринский,KZ395600,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:395800,395800,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:395800,Naurzum,Наурызым ,Наурзумский,KZ395800,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:396200,396200,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:396200,Sarykol,Сарыкөл ,Сарыкольский,KZ396200,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:396400,396400,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:396400,Beimbet Mailin,Бейімбет Майлин,Беимбет Майлин,KZ396400,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:396600,396600,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:396600,Uzunkol,Ұзынкөл ,Узункольский,KZ396600,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:396800,396800,1603:45:16:398:0,1603:45:16:398:1:39,1603:45:16:398:2:396800,Fedorov,Федоров ,Федоровский,KZ396800,,,,,,,,Kostanay,Қостанай ,Костанайская ,KZ39,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:431000,431000,1603:45:16:398:0,1603:45:16:398:1:43,1603:45:16:398:2:431000,Kyzylorda,Қызылорда ,Кызылорда,KZ431000,,,,,,,,Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:431900,431900,1603:45:16:398:0,1603:45:16:398:1:43,1603:45:16:398:2:431900,Baykonyr ,Байқоңыр,Байконыр ,KZ431900,,,,,,,,Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:433200,433200,1603:45:16:398:0,1603:45:16:398:1:43,1603:45:16:398:2:433200,Aral,Арал ,Аральский,KZ433200,,,,,,,,Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:433600,433600,1603:45:16:398:0,1603:45:16:398:1:43,1603:45:16:398:2:433600,Zhalagash,Жалағаш ,Жалагашский,KZ433600,,,,,,,,Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:434000,434000,1603:45:16:398:0,1603:45:16:398:1:43,1603:45:16:398:2:434000,Zhanakorgan,Жаңақорған ,Жанакорганский,KZ434000,,,,,,,,Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:434400,434400,1603:45:16:398:0,1603:45:16:398:1:43,1603:45:16:398:2:434400,Kazaly,Қазалы ,Казалинский,KZ434400,,,,,,,,Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:434600,434600,1603:45:16:398:0,1603:45:16:398:1:43,1603:45:16:398:2:434600,Karmakshy,Қармақшы ,Кармакшинский,KZ434600,,,,,,,,Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:434800,434800,1603:45:16:398:0,1603:45:16:398:1:43,1603:45:16:398:2:434800,Syrdariya,Сырдария ,Сырдарьинский,KZ434800,,,,,,,,Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:435200,435200,1603:45:16:398:0,1603:45:16:398:1:43,1603:45:16:398:2:435200,Shieli,Шиелі ,Чиилийский,KZ435200,,,,,,,,Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:471000,471000,1603:45:16:398:0,1603:45:16:398:1:47,1603:45:16:398:2:471000,Aktau ,Ақтау ,Актау ,KZ471000,,,,,,,,Mangystau,Маңғыстау ,Мангистауская ,KZ47,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
