#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5001,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5000,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:398:2:114800,114800,1603:45:16:398:0,1603:45:16:398:1:11,1603:45:16:398:2:114800,Esil,Есіл ,Есильский,KZ114800,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:115200,115200,1603:45:16:398:0,1603:45:16:398:1:11,1603:45:16:398:2:115200,Zhaksy,Жақсы ,Жаксынский,KZ115200,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:115400,115400,1603:45:16:398:0,1603:45:16:398:1:11,1603:45:16:398:2:115400,Zharkain,Жарқайың ,Жаркаинский,KZ115400,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:115600,115600,1603:45:16:398:0,1603:45:16:398:1:11,1603:45:16:398:2:115600,Zerendi,Зеренді ,Зерендинский,KZ115600,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:116000,116000,1603:45:16:398:0,1603:45:16:398:1:11,1603:45:16:398:2:116000,Korgalzhyn,Қорғалжын ,Коргалжынский,KZ116000,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:116400,116400,1603:45:16:398:0,1603:45:16:398:1:11,1603:45:16:398:2:116400,Sandyktau,Сандықтау ,Сандыктауский,KZ116400,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:116600,116600,1603:45:16:398:0,1603:45:16:398:1:11,1603:45:16:398:2:116600,Tselinograd,Целиноград ,Целиноградский,KZ116600,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:116800,116800,1603:45:16:398:0,1603:45:16:398:1:11,1603:45:16:398:2:116800,Shortandy,Шортанды ,Шортандинский,KZ116800,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:117000,117000,1603:45:16:398:0,1603:45:16:398:1:11,1603:45:16:398:2:117000,Burabay,Бурабай ,Бурабайский,KZ117000,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:151000,151000,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:151000,Aktobe,Ақтөбе,Актобе,KZ151000,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
