#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:180:2:1000,1000,1603:45:16:180:0,1603:45:16:180:1:10,1603:45:16:180:2:1000,Kinshasa,CD1000,,,,Kinshasa,CD10,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2001,2001,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2001,Matadi,CD2001,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2002,2002,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2002,Boma,CD2002,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2003,2003,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2003,Moanda,CD2003,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2005,2005,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2005,Lukula,CD2005,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2007,2007,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2007,Tshela,CD2007,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2009,2009,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2009,Seke-Banza,CD2009,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2010,2010,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2010,Luozi,CD2010,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2011,2011,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2011,Songololo,CD2011,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2012,2012,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2012,Bangu,CD2012,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2013,2013,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2013,Mbanza-Ngungu,CD2013,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2015,2015,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2015,Kasangulu,CD2015,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2017,2017,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2017,Madimba,CD2017,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2018,2018,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2018,Inkisi,CD2018,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:2019,2019,1603:45:16:180:0,1603:45:16:180:1:20,1603:45:16:180:2:2019,Kimvula,CD2019,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
