Codicem,Português,Português (definição não publicada no resultado final),"Português, metadata",English,"English, metadaata",Wikidata Property (P code),Wikidata Property (P code) meta,HXL hashtag vocabulary,"HXL hashtag vocabulary, meta",HXL hashtag full example,"HXL hashtag full example, meta"
#item+conceptum+codicem,#item+rem+i_por+is_latn,#meta+rem+i_por+is_latn+definitionem,#meta+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#meta+rem+i_eng+is_latn,#item+rem+i_zxx+is_zmth+ix_wikip,#meta+rem+i_zxx+is_zmth+ix_wikip,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc,#meta+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc,#item+rem+i_zxx+is_latn+ix_hxl,#meta+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc
0_999,,,,,,Q2140674,/ballistic trauma/,v_lat_mortis,,,
1,inferência final sobre o do caso (balística forense),,,final inference about the case (forensic ballistics),,,,,,,
1_0,não está relacionado à arma de fogo,,,not related to firearm,,,,,,,
1_1,Ferimento por arma de fogo (qualquer distância),,,,,,,v_lat_vulnus_sclopetarium,,#indicator+v_lat_vulnus_sclopetarium,
1_1_1,Ferimento por arma de fogo com cano dentro de cavidade natural ou artificial (< 0cm),,,,,,,,,#indicator+v_lat_vulnus_sclopetarium+intracavitatem,
1_1_2,Ferimento por arma de fogo com cano encostado na pele (=0cm),,,,,,,,,#indicator+v_lat_vulnus_sclopetarium+contrapellem,
1_1_3,ferimento por arma de fogo de à curta distância (> 0cm),,http://www.malthus.com.br/mg_imagem_zoom.asp?id=5535&topico=245#set,close contact gunshot wound,,Q5164849,,,,#indicator+v_lat_vulnus_sclopetarium+adpellem,
1_1_4,ferimento por arma de fogo de à curta distância (> 0cm),,,,,,,,,,
1_9,outra inferência final não especificada,,,,,,,,,,
10,fatos diretamente observáveis sobre o caso,,,directly observable facts about the case,,,,,,,
10_1,sinal de Werkgaertner,Marca de impressão do cano de arma de fogo,http://www.malthus.com.br/mg_imagem_zoom.asp?id=2306&topico=329#set,,,,,,,#indicator+v_lat_vulnus_sclopetarium+signi_werkgaertner,
10_2,sinal de Benassi,"Sinal de Benassi. Ou Benassi-Cueli. Esfumaçamento ósseo em disparos encostados. Resiste à putrefação. (definição de Galvão, Malthus)",http://www.malthus.com.br/mg_total.asp?id=368&topico=368&endp_ch=sinal%20de%20Benassi,,,,,,,#indicator+v_lat_vulnus_sclopetarium+signi_benassi,
10_3,câmara de mina de Hoffmann,"Câmara de mina de, Buraco de mina de, eversão das bordas do tecido, de forma estrelada, com presença de vestígios de pólvora, presentes em entrada de projetil de arma de fogo disparado encostado em região com tecidos moles delgados sobre superfície óssea, como ocorre na calvária. (definição de Galvão, Malthus)",http://www.malthus.com.br/mg_total.asp?id=368&topico=368&endp_ch=sinal%20de%20Benassii,,,,,,,#indicator+v_lat_vulnus_sclopetarium+signi_hoffmann,https://en.wikipedia.org/wiki/Eduard_von_Hofmann
10_4,sinal de Bonnet,,,,firearm muzzle printing mark,,,,,#indicator+v_lat_vulnus_sclopetarium+signi_bonnet,
10_5,zona de tatuagem,,,,,,,,,,
10_6,zona de esfumaçamento,,,,,,,,,,
10_7,zona de compressão de gases,,,,,,,,,,
10_8,zona de chamuscamento,,,,,,,,,,
