#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_zxx+is_zmth+ix_wikip,#item+rem+i_zxx+is_zmth+ix_iso3950,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlix,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc
1603:994:1:0_999,0_999,Q10627714,,ix_iso3950,v_iso3950
1603:994:1:0_999_1_1,0_999_1_1,,,,
1603:994:1:0_999_1_2,0_999_1_2,,,,
1603:994:1:0_999_1_3,0_999_1_3,,,,
1603:994:1:0_999_1_4,0_999_1_4,,,,
1603:994:1:0_999_1_5,0_999_1_5,,,,
1603:994:1:0_999_1_6,0_999_1_6,,,,
1603:994:1:0_999_1_7,0_999_1_7,,,,
1603:994:1:0_999_1_8,0_999_1_8,,,,
1603:994:1:0_999_2_1,0_999_2_1,,,,
1603:994:1:0_999_2_2,0_999_2_2,,,,
1603:994:1:0_999_2_3,0_999_2_3,,,,
1603:994:1:0_999_2_4,0_999_2_4,,,,
1603:994:1:0_999_2_5,0_999_2_5,,,,
1603:994:1:0_999_2_6,0_999_2_6,,,,
1603:994:1:0_999_2_7,0_999_2_7,,,,
1603:994:1:0_999_2_8,0_999_2_8,,,,
1603:994:1:1_1,1_1,,11,ix_iso3950q1d1,v_iso3950q1d1
1603:994:1:1_2,1_2,,12,ix_iso3950q1d2,v_iso3950q1d2
1603:994:1:1_3,1_3,,13,ix_iso3950q1d3,v_iso3950q1d3
1603:994:1:1_4,1_4,,14,ix_iso3950q1d4,v_iso3950q1d4
1603:994:1:1_5,1_5,,15,ix_iso3950q1d5,v_iso3950q1d5
1603:994:1:1_6,1_6,,16,ix_iso3950q1d6,v_iso3950q1d6
1603:994:1:1_7,1_7,,17,ix_iso3950q1d7,v_iso3950q1d7
1603:994:1:1_8,1_8,,18,ix_iso3950q1d8,v_iso3950q1d8
1603:994:1:2_1,2_1,,21,ix_iso3950q2d1,v_iso3950q2d1
1603:994:1:2_2,2_2,,22,ix_iso3950q2d2,v_iso3950q2d2
1603:994:1:2_3,2_3,,23,ix_iso3950q2d3,v_iso3950q2d3
1603:994:1:2_4,2_4,,24,ix_iso3950q2d4,v_iso3950q2d4
1603:994:1:2_5,2_5,,25,ix_iso3950q2d5,v_iso3950q2d5
1603:994:1:2_6,2_6,,26,ix_iso3950q2d6,v_iso3950q2d6
1603:994:1:2_7,2_7,,27,ix_iso3950q2d7,v_iso3950q2d7
1603:994:1:2_8,2_8,,28,ix_iso3950q2d8,v_iso3950q2d8
1603:994:1:3_1,3_1,,31,ix_iso3950q3d1,v_iso3950q3d1
1603:994:1:3_2,3_2,,32,ix_iso3950q3d2,v_iso3950q3d2
1603:994:1:3_3,3_3,,33,ix_iso3950q3d3,v_iso3950q3d3
1603:994:1:3_4,3_4,,34,ix_iso3950q3d4,v_iso3950q3d4
1603:994:1:3_5,3_5,,35,ix_iso3950q3d5,v_iso3950q3d5
1603:994:1:3_6,3_6,,36,ix_iso3950q3d6,v_iso3950q3d6
1603:994:1:3_7,3_7,,37,ix_iso3950q3d7,v_iso3950q3d7
1603:994:1:3_8,3_8,,38,ix_iso3950q3d8,v_iso3950q3d8
1603:994:1:4_1,4_1,,41,ix_iso3950q4d1,v_iso3950q4d1
1603:994:1:4_2,4_2,,42,ix_iso3950q4d2,v_iso3950q4d2
1603:994:1:4_3,4_3,,43,ix_iso3950q4d3,v_iso3950q4d3
1603:994:1:4_4,4_4,,44,ix_iso3950q4d4,v_iso3950q4d4
1603:994:1:4_5,4_5,,45,ix_iso3950q4d5,v_iso3950q4d5
1603:994:1:4_6,4_6,,46,ix_iso3950q4d6,v_iso3950q4d6
1603:994:1:4_7,4_7,,47,ix_iso3950q4d7,v_iso3950q4d7
1603:994:1:4_8,4_8,,48,ix_iso3950q4d8,v_iso3950q4d8
1603:994:1:5_1,5_1,,51,ix_iso3950q5d1,v_iso3950q5d1
1603:994:1:5_2,5_2,,52,ix_iso3950q5d2,v_iso3950q5d2
1603:994:1:5_3,5_3,,53,ix_iso3950q5d3,v_iso3950q5d3
1603:994:1:5_4,5_4,,54,ix_iso3950q5d4,v_iso3950q5d4
1603:994:1:5_5,5_5,,55,ix_iso3950q5d5,v_iso3950q5d5
1603:994:1:6_1,6_1,,61,ix_iso3950q6d1,v_iso3950q6d1
1603:994:1:6_2,6_2,,62,ix_iso3950q6d2,v_iso3950q6d2
1603:994:1:6_3,6_3,,63,ix_iso3950q6d3,v_iso3950q6d3
1603:994:1:6_4,6_4,,64,ix_iso3950q6d4,v_iso3950q6d4
1603:994:1:6_5,6_5,,65,ix_iso3950q6d5,v_iso3950q6d5
1603:994:1:7_1,7_1,,71,ix_iso3950q7d1,v_iso3950q7d1
1603:994:1:7_2,7_2,,72,ix_iso3950q7d2,v_iso3950q7d2
1603:994:1:7_3,7_3,,73,ix_iso3950q7d3,v_iso3950q7d3
1603:994:1:7_4,7_4,,74,ix_iso3950q7d4,v_iso3950q7d4
1603:994:1:7_5,7_5,,75,ix_iso3950q7d5,v_iso3950q7d5
1603:994:1:8_1,8_1,,81,ix_iso3950q8d1,v_iso3950q8d1
1603:994:1:8_2,8_2,,82,ix_iso3950q8d2,v_iso3950q8d2
1603:994:1:8_3,8_3,,83,ix_iso3950q8d3,v_iso3950q8d3
1603:994:1:8_4,8_4,,84,ix_iso3950q8d4,v_iso3950q8d4
1603:994:1:8_5,8_5,,85,ix_iso3950q8d5,v_iso3950q8d5
