#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5003,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:804:3:102000,102000,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102000,Sevastopilska,Севастопільська,Севастопольский,UA0102000,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102003,102003,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102003,Aromatnenska,Ароматненська,Ароматненский,UA0102003,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102005,102005,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102005,Bakhchysaraiska,Бахчисарайська,Бахчисарайский,UA0102005,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102009,102009,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102009,Verkhorichenska,Верхоріченська,Верхореченский,UA0102009,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102011,102011,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102011,Vilinska,Вілінська,Вилинский,UA0102011,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102013,102013,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102013,Holubynska,Голубинська,Голубинский,UA0102013,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102015,102015,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102015,Dolynnenska,Долинненська,Долинненский,UA0102015,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102017,102017,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102017,Zaliznychnenska,Залізничненська,Железнодорожненский,UA0102017,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102019,102019,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102019,Zelenivska,Зеленівська,Зеленовский,UA0102019,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102025,102025,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102025,Kashtanivska,Каштанівська,Каштановский,UA0102025,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102027,102027,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102027,Krasnomatska,Красномацька,Красномакский,UA0102027,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102029,102029,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102029,Kuibyshevska,Куйбишевська,Куйбышевский,UA0102029,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102033,102033,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102033,Pishchanivska,Піщанівська,Песчановский,UA0102033,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102035,102035,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102035,Plodivska,Плодівська,Плодовский,UA0102035,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102037,102037,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102037,Poshtivska,Поштівська,Почтовский,UA0102037,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102039,102039,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102039,Skalystivska,Скалистівська,Скалистовский,UA0102039,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102041,102041,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102041,Tabachnenska,Табачненська,Табачненский,UA0102041,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102045,102045,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102045,Tinystivska,Тінистівська,Тенистовский,UA0102045,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102047,102047,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102047,Uhlivska,Углівська,Угловский,UA0102047,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104001,104001,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104001,Aromatnivska,Ароматнівська,Ароматновский,UA0104001,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104003,104003,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104003,Bahativska,Багатівська,Богатовский,UA0104003,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104005,104005,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104005,Bilohirska,Білогірська,Белогорский,UA0104005,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104007,104007,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104007,Vasylivska,Василівська,Васильевский,UA0104007,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104009,104009,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104009,Vyshenska,Вишенська,Вишенский,UA0104009,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104011,104011,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104011,Drofynska,Дрофинська,Дрофинский,UA0104011,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104013,104013,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104013,Zheliabovska,Желябовська,Желябовский,UA0104013,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104015,104015,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104015,Zhemchuzhynska,Жемчужинська,Жемчужинский,UA0104015,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104017,104017,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104017,Zelenohirska,Зеленогірська,Зеленогорский,UA0104017,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104019,104019,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104019,Zemlianychnenska,Земляничненська,Земляничненский,UA0104019,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104021,104021,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104021,Zybynska,Зибинська,Зыбинский,UA0104021,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104023,104023,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104023,Zorkinska,Зоркінська,Зоркинский,UA0104023,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104025,104025,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104025,Zuiska,Зуйська,Зуйский,UA0104025,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104027,104027,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104027,Ivanivska,Іванівська,Ивановский,UA0104027,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104029,104029,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104029,Izobilnenska,Ізобільненська,Изобильненский,UA0104029,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104031,104031,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104031,Kistochkivska,Кісточківська,Косточковский,UA0104031,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104033,104033,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104033,Krymskorozivska,Кримськорозівська,Крымскорозовский,UA0104033,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104035,104035,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104035,Krynychnenska,Криничненська,Криничненский,UA0104035,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104037,104037,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104037,Kurska,Курська,Курский,UA0104037,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104039,104039,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104039,Lystvynska,Листвинська,Лиственский,UA0104039,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104041,104041,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104041,Melnychna,Мельнична,Мельничный,UA0104041,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104043,104043,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104043,Mytrofanivska,Митрофанівська,Митрофановский,UA0104043,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104045,104045,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104045,Mykhailivska,Михайлівська,Михайловский,UA0104045,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104047,104047,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104047,Michurinska,Мічурінська,Мичуринский,UA0104047,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104049,104049,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104049,Muromska,Муромська,Муромский,UA0104049,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104051,104051,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104051,Nyzhnohirska,Нижньогірська,Нижнегорский,UA0104051,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104053,104053,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104053,Novohryhorivska,Новогригорівська,Новогригорьевский,UA0104053,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104055,104055,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104055,Novozhylivska,Новожилівська,Новожиловский,UA0104055,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104057,104057,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104057,Omelianivska,Омелянівська,Емельяновский,UA0104057,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104059,104059,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104059,Okhotska,Охотська,Охотский,UA0104059,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104061,104061,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104061,Pshenychnenska,Пшеничненська,Пшеничненский,UA0104061,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104063,104063,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104063,Rusakivska,Русаківська,Русаковский,UA0104063,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104065,104065,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104065,Sadova,Садова,Садовый,UA0104065,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104067,104067,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104067,Uvarivska,Уварівська,Уваровский,UA0104067,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104069,104069,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104069,Tsvitochnenska,Цвіточненська,Цветочненский,UA0104069,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104071,104071,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104071,Chkalovska,Чкаловська,Чкаловский,UA0104071,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104073,104073,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104073,Chornopilska,Чорнопільська,Чернопольский,UA0104073,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104075,104075,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104075,Yakymivska,Якимівська,Акимовский,UA0104075,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:106001,106001,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:106,1603:45:16:804:3:106001,Azovska,Азовська,Азовский,UA0106001,,,,,,,,Dzhankoiskyi,Джанкойський,Джанкойский,UA0106,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:106003,106003,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:106,1603:45:16:804:3:106003,Vilnenska,Вільненська,Вольненский,UA0106003,,,,,,,,Dzhankoiskyi,Джанкойський,Джанкойский,UA0106,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:106005,106005,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:106,1603:45:16:804:3:106005,Dzhankoiska,Джанкойська,Джанкойский,UA0106005,,,,,,,,Dzhankoiskyi,Джанкойський,Джанкойский,UA0106,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:106007,106007,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:106,1603:45:16:804:3:106007,Yermakivska,Єрмаківська,Ермаковский,UA0106007,,,,,,,,Dzhankoiskyi,Джанкойський,Джанкойский,UA0106,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
