#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:894:2:1001,1001,1603:45:16:894:0,1603:45:16:894:1:10,1603:45:16:894:2:1001,Chibombo,ZM1001,,,,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1002,1002,1603:45:16:894:0,1603:45:16:894:1:10,1603:45:16:894:2:1002,Kabwe,ZM1002,,,,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1003,1003,1603:45:16:894:0,1603:45:16:894:1:10,1603:45:16:894:2:1003,Kapiri Mposhi,ZM1003,,,,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1004,1004,1603:45:16:894:0,1603:45:16:894:1:10,1603:45:16:894:2:1004,Mkushi,ZM1004,,,,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1005,1005,1603:45:16:894:0,1603:45:16:894:1:10,1603:45:16:894:2:1005,Mumbwa,ZM1005,,,,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1006,1006,1603:45:16:894:0,1603:45:16:894:1:10,1603:45:16:894:2:1006,Serenje,ZM1006,,,,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1007,1007,1603:45:16:894:0,1603:45:16:894:1:10,1603:45:16:894:2:1007,Chisamba,ZM1007,,,,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1008,1008,1603:45:16:894:0,1603:45:16:894:1:10,1603:45:16:894:2:1008,Chitambo,ZM1008,,,,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1009,1009,1603:45:16:894:0,1603:45:16:894:1:10,1603:45:16:894:2:1009,Itezhi-tezhi,ZM1009,,,,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1010,1010,1603:45:16:894:0,1603:45:16:894:1:10,1603:45:16:894:2:1010,Luano,ZM1010,,,,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1011,1011,1603:45:16:894:0,1603:45:16:894:1:10,1603:45:16:894:2:1011,Ngabwe,ZM1011,,,,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1111,1111,1603:45:16:894:0,1603:45:16:894:1:11,1603:45:16:894:2:1111,Nakonde,ZM1111,,,,Muchinga,ZM11,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1112,1112,1603:45:16:894:0,1603:45:16:894:1:11,1603:45:16:894:2:1112,Chama,ZM1112,,,,Muchinga,ZM11,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1113,1113,1603:45:16:894:0,1603:45:16:894:1:11,1603:45:16:894:2:1113,Isoka,ZM1113,,,,Muchinga,ZM11,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1114,1114,1603:45:16:894:0,1603:45:16:894:1:11,1603:45:16:894:2:1114,Chinsali,ZM1114,,,,Muchinga,ZM11,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1115,1115,1603:45:16:894:0,1603:45:16:894:1:11,1603:45:16:894:2:1115,Mafinga,ZM1115,,,,Muchinga,ZM11,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1116,1116,1603:45:16:894:0,1603:45:16:894:1:11,1603:45:16:894:2:1116,Kanchibiya,ZM1116,,,,Muchinga,ZM11,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1117,1117,1603:45:16:894:0,1603:45:16:894:1:11,1603:45:16:894:2:1117,Lavushimanda,ZM1117,,,,Muchinga,ZM11,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1118,1118,1603:45:16:894:0,1603:45:16:894:1:11,1603:45:16:894:2:1118,Mpika,ZM1118,,,,Muchinga,ZM11,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:1119,1119,1603:45:16:894:0,1603:45:16:894:1:11,1603:45:16:894:2:1119,Shiwamg'andu,ZM1119,Shiwamgandu,,,Muchinga,ZM11,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:2001,2001,1603:45:16:894:0,1603:45:16:894:1:20,1603:45:16:894:2:2001,Chililabombwe,ZM2001,,,,Copperbelt,ZM20,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:2002,2002,1603:45:16:894:0,1603:45:16:894:1:20,1603:45:16:894:2:2002,Chingola,ZM2002,,,,Copperbelt,ZM20,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:2003,2003,1603:45:16:894:0,1603:45:16:894:1:20,1603:45:16:894:2:2003,Kalulushi,ZM2003,,,,Copperbelt,ZM20,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:2004,2004,1603:45:16:894:0,1603:45:16:894:1:20,1603:45:16:894:2:2004,Kitwe,ZM2004,,,,Copperbelt,ZM20,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:2005,2005,1603:45:16:894:0,1603:45:16:894:1:20,1603:45:16:894:2:2005,Luanshya,ZM2005,,,,Copperbelt,ZM20,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:2006,2006,1603:45:16:894:0,1603:45:16:894:1:20,1603:45:16:894:2:2006,Lufwanyama,ZM2006,,,,Copperbelt,ZM20,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:2007,2007,1603:45:16:894:0,1603:45:16:894:1:20,1603:45:16:894:2:2007,Masaiti,ZM2007,,,,Copperbelt,ZM20,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:2008,2008,1603:45:16:894:0,1603:45:16:894:1:20,1603:45:16:894:2:2008,Mpongwe,ZM2008,,,,Copperbelt,ZM20,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:2:2009,2009,1603:45:16:894:0,1603:45:16:894:1:20,1603:45:16:894:2:2009,Mufulira,ZM2009,,,,Copperbelt,ZM20,Zambia,ZM,2020-11-26,2020-11-26,
