qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,fra-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:768:3:10101,10101,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10101,Agbandi,TG010101,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10102,10102,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10102,Atchintse,TG010102,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10103,10103,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10103,Blitta Village,TG010103,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10104,10104,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10104,Blitta-Gare,TG010104,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10105,10105,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10105,Diguengue,TG010105,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10106,10106,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10106,Dikpeleou,TG010106,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10107,10107,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10107,Doufouli,TG010107,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10108,10108,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10108,Katchenke,TG010108,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10109,10109,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10109,Koffiti,TG010109,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10110,10110,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10110,Langabou,TG010110,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
