#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:16:24:2:1001,1001,Ambriz,AO01001,,,,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:1002,1002,Dande,AO01002,,,,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:1005,1005,Nambuangongo,AO01005,,,,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:1040,1040,Bula-Atumba,AO01040,,,,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:1043,1043,Dembos-Quibaxe,AO01043,,,,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:1047,1047,Pango-Aluquém,AO01047,Pango-Aluquem,,,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:2006,2006,Baía Farta,AO02006,Baia Farta,,,Benguela,AO02,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:2007,2007,Balombo,AO02007,,,,Benguela,AO02,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:2008,2008,Benguela,AO02008,,,,Benguela,AO02,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:2009,2009,Bocoio,AO02009,,,,Benguela,AO02,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:2010,2010,Caimbambo,AO02010,,,,Benguela,AO02,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:2011,2011,Chongoroi,AO02011,,,,Benguela,AO02,Angola,AO,2018-08-30,2020-11-12,
1603:16:24:2:2012,2012,Cubal,AO02012,,,,Benguela,AO02,Angola,AO,2018-08-30,2020-11-12,
