#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_mon+is_cyrl,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_mon+is_cyrl,#adm1+name+alt2+i_mon+is_cyrl,#country+name+i_eng+is_latn,#country+name+i_mon+is_cyrl,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:496:1:11,11,Ulaanbaatar,Улаанбаатар,MN11,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:21,21,Dornod,Дорнод,MN21,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:22,22,Sukhbaatar,Сүхбаатар,MN22,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:23,23,Hentii,Хэнтий,MN23,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:41,41,To'v,Төв,MN41,Tov,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:42,42,Govisumber,Говьсүмбэр,MN42,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:43,43,Selenge,Сэлэнгэ,MN43,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:44,44,Dornogovi,Дорноговь,MN44,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:45,45,Darkhan-Uul,Дархан-Уул,MN45,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:46,46,Omnogovi,Өмнөговь,MN46,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:48,48,Dundgovi,Дундговь,MN48,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:61,61,Orkhon,Орхон,MN61,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:62,62,Ovorkhangai,Өвөрхангай,MN62,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:63,63,Bulgan,Булган,MN63,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:64,64,Bayankhongor,Баянхонгор,MN64,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:65,65,Arxangai,Архангай,MN65,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:67,67,Khovsgol,Хөвсгөл,MN67,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:81,81,Zavkhan,Завхан,MN81,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:82,82,Govi-Altai,Говь-Алтай,MN82,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:83,83,Bayan-Olgii,Баян-Өлгий,MN83,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:84,84,Khovd,Ховд,MN84,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:85,85,Uvs,Увс,MN85,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
