#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:348:2:1001,1001,1603:45:16:348:0,1603:45:16:348:1:1,1603:45:16:348:2:1001,Bacsalmasi jaras,HU001001,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:1002,1002,1603:45:16:348:0,1603:45:16:348:1:1,1603:45:16:348:2:1002,Bajai jaras,HU001002,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:1003,1003,1603:45:16:348:0,1603:45:16:348:1:1,1603:45:16:348:2:1003,Janoshalmai jaras,HU001003,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:1004,1004,1603:45:16:348:0,1603:45:16:348:1:1,1603:45:16:348:2:1004,Kalocsai jaras,HU001004,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:1005,1005,1603:45:16:348:0,1603:45:16:348:1:1,1603:45:16:348:2:1005,Kecskemeti jaras,HU001005,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:1006,1006,1603:45:16:348:0,1603:45:16:348:1:1,1603:45:16:348:2:1006,Kiskorosi jaras,HU001006,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:1007,1007,1603:45:16:348:0,1603:45:16:348:1:1,1603:45:16:348:2:1007,Kiskunfelegyhazi jaras,HU001007,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:1008,1008,1603:45:16:348:0,1603:45:16:348:1:1,1603:45:16:348:2:1008,Kiskunhalasi jaras,HU001008,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:1009,1009,1603:45:16:348:0,1603:45:16:348:1:1,1603:45:16:348:2:1009,Kiskunmajsai jaras,HU001009,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:1010,1010,1603:45:16:348:0,1603:45:16:348:1:1,1603:45:16:348:2:1010,Kunszentmiklosi jaras,HU001010,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:1011,1011,1603:45:16:348:0,1603:45:16:348:1:1,1603:45:16:348:2:1011,Tiszakecskei jaras,HU001011,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:2001,2001,1603:45:16:348:0,1603:45:16:348:1:2,1603:45:16:348:2:2001,Bolyi jaras,HU002001,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:2002,2002,1603:45:16:348:0,1603:45:16:348:1:2,1603:45:16:348:2:2002,Hegyhati jaras,HU002002,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:2003,2003,1603:45:16:348:0,1603:45:16:348:1:2,1603:45:16:348:2:2003,Komloi jaras,HU002003,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:2004,2004,1603:45:16:348:0,1603:45:16:348:1:2,1603:45:16:348:2:2004,Mohacsi jaras,HU002004,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:2005,2005,1603:45:16:348:0,1603:45:16:348:1:2,1603:45:16:348:2:2005,Pecsi jaras,HU002005,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:2006,2006,1603:45:16:348:0,1603:45:16:348:1:2,1603:45:16:348:2:2006,Pecsvaradi jaras,HU002006,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:2007,2007,1603:45:16:348:0,1603:45:16:348:1:2,1603:45:16:348:2:2007,Sellyei jaras,HU002007,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:2008,2008,1603:45:16:348:0,1603:45:16:348:1:2,1603:45:16:348:2:2008,Siklosi jaras,HU002008,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:2009,2009,1603:45:16:348:0,1603:45:16:348:1:2,1603:45:16:348:2:2009,Szentlorinci Jaras,HU002009,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:2010,2010,1603:45:16:348:0,1603:45:16:348:1:2,1603:45:16:348:2:2010,Szigetvari jaras,HU002010,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:3001,3001,1603:45:16:348:0,1603:45:16:348:1:3,1603:45:16:348:2:3001,Bekescsabai jaras,HU003001,,,,Bekes,HU003,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:3002,3002,1603:45:16:348:0,1603:45:16:348:1:3,1603:45:16:348:2:3002,Bekesi jaras,HU003002,,,,Bekes,HU003,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:3003,3003,1603:45:16:348:0,1603:45:16:348:1:3,1603:45:16:348:2:3003,Gyomaendrodi jaras,HU003003,,,,Bekes,HU003,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:3004,3004,1603:45:16:348:0,1603:45:16:348:1:3,1603:45:16:348:2:3004,Gyulai jaras,HU003004,,,,Bekes,HU003,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:3005,3005,1603:45:16:348:0,1603:45:16:348:1:3,1603:45:16:348:2:3005,Mezokovacshazai jaras,HU003005,,,,Bekes,HU003,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:3006,3006,1603:45:16:348:0,1603:45:16:348:1:3,1603:45:16:348:2:3006,Oroshazi jaras,HU003006,,,,Bekes,HU003,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:3007,3007,1603:45:16:348:0,1603:45:16:348:1:3,1603:45:16:348:2:3007,Sarkadi jaras,HU003007,,,,Bekes,HU003,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:3008,3008,1603:45:16:348:0,1603:45:16:348:1:3,1603:45:16:348:2:3008,Szarvasi jaras,HU003008,,,,Bekes,HU003,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:3009,3009,1603:45:16:348:0,1603:45:16:348:1:3,1603:45:16:348:2:3009,Szeghalmi jaras,HU003009,,,,Bekes,HU003,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4001,4001,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4001,Cigandi jaras,HU004001,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4002,4002,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4002,Edelenyi jaras,HU004002,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4003,4003,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4003,Encsi jaras,HU004003,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4004,4004,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4004,Gonci jaras,HU004004,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4005,4005,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4005,Kazincbarcikai jaras,HU004005,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4006,4006,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4006,Mezocsati jaras,HU004006,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4007,4007,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4007,Mezokovesdi jaras,HU004007,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4008,4008,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4008,Miskolci jaras,HU004008,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4009,4009,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4009,ozdi jaras,HU004009,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4010,4010,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4010,Putnoki jaras,HU004010,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4011,4011,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4011,Sarospataki jaras,HU004011,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4012,4012,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4012,Satoraljaujhelyi jaras,HU004012,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4013,4013,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4013,Szerencsi jaras,HU004013,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4014,4014,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4014,Szikszoi jaras,HU004014,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4015,4015,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4015,Tiszaujvarosi jaras,HU004015,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:4016,4016,1603:45:16:348:0,1603:45:16:348:1:4,1603:45:16:348:2:4016,Tokaji jaras,HU004016,,,,Borsod Abauj Zemplen,HU004,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5001,5001,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5001,10th district,HU005001,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5002,5002,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5002,11th district,HU005002,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5003,5003,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5003,12th district,HU005003,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5004,5004,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5004,13th district,HU005004,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5005,5005,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5005,14th district,HU005005,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5006,5006,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5006,15th district,HU005006,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5007,5007,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5007,16th district,HU005007,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5008,5008,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5008,17th district,HU005008,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5009,5009,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5009,18th district,HU005009,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5010,5010,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5010,19th district,HU005010,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5011,5011,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5011,1st district,HU005011,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5012,5012,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5012,20th district,HU005012,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5013,5013,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5013,21st district,HU005013,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5014,5014,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5014,22nd district,HU005014,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5015,5015,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5015,23rd district,HU005015,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5016,5016,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5016,2nd district,HU005016,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5017,5017,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5017,3rd district,HU005017,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
