#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:348:2:5018,5018,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5018,4th district,HU005018,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5019,5019,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5019,5th district,HU005019,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5020,5020,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5020,6th district,HU005020,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5021,5021,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5021,7th district,HU005021,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5022,5022,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5022,8th district,HU005022,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:5023,5023,1603:45:16:348:0,1603:45:16:348:1:5,1603:45:16:348:2:5023,9th district,HU005023,,,,Budapest,HU005,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:6001,6001,1603:45:16:348:0,1603:45:16:348:1:6,1603:45:16:348:2:6001,Csongradi jaras,HU006001,,,,Csongrad,HU006,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:6002,6002,1603:45:16:348:0,1603:45:16:348:1:6,1603:45:16:348:2:6002,Hodmezovasarhelyi jaras,HU006002,,,,Csongrad,HU006,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:6003,6003,1603:45:16:348:0,1603:45:16:348:1:6,1603:45:16:348:2:6003,Kisteleki jaras,HU006003,,,,Csongrad,HU006,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:6004,6004,1603:45:16:348:0,1603:45:16:348:1:6,1603:45:16:348:2:6004,Makoi jaras,HU006004,,,,Csongrad,HU006,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:6005,6005,1603:45:16:348:0,1603:45:16:348:1:6,1603:45:16:348:2:6005,Morahalmi jaras,HU006005,,,,Csongrad,HU006,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:6006,6006,1603:45:16:348:0,1603:45:16:348:1:6,1603:45:16:348:2:6006,Szegedi jaras,HU006006,,,,Csongrad,HU006,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:6007,6007,1603:45:16:348:0,1603:45:16:348:1:6,1603:45:16:348:2:6007,Szentesi jaras,HU006007,,,,Csongrad,HU006,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:7001,7001,1603:45:16:348:0,1603:45:16:348:1:7,1603:45:16:348:2:7001,Bicskei jaras,HU007001,,,,Fejer,HU007,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:7002,7002,1603:45:16:348:0,1603:45:16:348:1:7,1603:45:16:348:2:7002,Dunaujvarosi jaras,HU007002,,,,Fejer,HU007,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:7003,7003,1603:45:16:348:0,1603:45:16:348:1:7,1603:45:16:348:2:7003,Enyingi jaras,HU007003,,,,Fejer,HU007,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:7004,7004,1603:45:16:348:0,1603:45:16:348:1:7,1603:45:16:348:2:7004,Gardonyi jaras,HU007004,,,,Fejer,HU007,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:7005,7005,1603:45:16:348:0,1603:45:16:348:1:7,1603:45:16:348:2:7005,Martonvasari jaras,HU007005,,,,Fejer,HU007,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:7006,7006,1603:45:16:348:0,1603:45:16:348:1:7,1603:45:16:348:2:7006,Mori jaras,HU007006,,,,Fejer,HU007,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:7007,7007,1603:45:16:348:0,1603:45:16:348:1:7,1603:45:16:348:2:7007,Sarbogardi jaras,HU007007,,,,Fejer,HU007,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:7008,7008,1603:45:16:348:0,1603:45:16:348:1:7,1603:45:16:348:2:7008,Szekesfehervari jaras,HU007008,,,,Fejer,HU007,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:8001,8001,1603:45:16:348:0,1603:45:16:348:1:8,1603:45:16:348:2:8001,Csornai jaras,HU008001,,,,Gyor Moson Sopron,HU008,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:8002,8002,1603:45:16:348:0,1603:45:16:348:1:8,1603:45:16:348:2:8002,Gyori jaras,HU008002,,,,Gyor Moson Sopron,HU008,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:8003,8003,1603:45:16:348:0,1603:45:16:348:1:8,1603:45:16:348:2:8003,Kapuvari jaras,HU008003,,,,Gyor Moson Sopron,HU008,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:8004,8004,1603:45:16:348:0,1603:45:16:348:1:8,1603:45:16:348:2:8004,Mosonmagyarovari jaras,HU008004,,,,Gyor Moson Sopron,HU008,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:8005,8005,1603:45:16:348:0,1603:45:16:348:1:8,1603:45:16:348:2:8005,Pannonhalmi jaras,HU008005,,,,Gyor Moson Sopron,HU008,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:8006,8006,1603:45:16:348:0,1603:45:16:348:1:8,1603:45:16:348:2:8006,Soproni jaras,HU008006,,,,Gyor Moson Sopron,HU008,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:8007,8007,1603:45:16:348:0,1603:45:16:348:1:8,1603:45:16:348:2:8007,Teti jaras,HU008007,,,,Gyor Moson Sopron,HU008,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:9001,9001,1603:45:16:348:0,1603:45:16:348:1:9,1603:45:16:348:2:9001,Balmazujvarosi jaras,HU009001,,,,Hajdu Bihar,HU009,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:9002,9002,1603:45:16:348:0,1603:45:16:348:1:9,1603:45:16:348:2:9002,Berettyoujfalui jaras,HU009002,,,,Hajdu Bihar,HU009,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:9003,9003,1603:45:16:348:0,1603:45:16:348:1:9,1603:45:16:348:2:9003,Debreceni jaras,HU009003,,,,Hajdu Bihar,HU009,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:9004,9004,1603:45:16:348:0,1603:45:16:348:1:9,1603:45:16:348:2:9004,Derecskei jaras,HU009004,,,,Hajdu Bihar,HU009,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:9005,9005,1603:45:16:348:0,1603:45:16:348:1:9,1603:45:16:348:2:9005,Hajduboszormenyi jaras,HU009005,,,,Hajdu Bihar,HU009,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:9006,9006,1603:45:16:348:0,1603:45:16:348:1:9,1603:45:16:348:2:9006,Hajduhadhazi jaras,HU009006,,,,Hajdu Bihar,HU009,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:9007,9007,1603:45:16:348:0,1603:45:16:348:1:9,1603:45:16:348:2:9007,Hajdunanasi jaras,HU009007,,,,Hajdu Bihar,HU009,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:9008,9008,1603:45:16:348:0,1603:45:16:348:1:9,1603:45:16:348:2:9008,Hajduszoboszloi jaras,HU009008,,,,Hajdu Bihar,HU009,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:9009,9009,1603:45:16:348:0,1603:45:16:348:1:9,1603:45:16:348:2:9009,NyNradonyi jaras,HU009009,,,,Hajdu Bihar,HU009,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:9010,9010,1603:45:16:348:0,1603:45:16:348:1:9,1603:45:16:348:2:9010,Puspokladanyi jaras,HU009010,,,,Hajdu Bihar,HU009,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:10001,10001,1603:45:16:348:0,1603:45:16:348:1:10,1603:45:16:348:2:10001,Belapatfalvai jaras,HU010001,,,,Heves,HU010,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:10002,10002,1603:45:16:348:0,1603:45:16:348:1:10,1603:45:16:348:2:10002,Egri jaras,HU010002,,,,Heves,HU010,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:10003,10003,1603:45:16:348:0,1603:45:16:348:1:10,1603:45:16:348:2:10003,Fuzesabonyi jaras,HU010003,,,,Heves,HU010,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:10004,10004,1603:45:16:348:0,1603:45:16:348:1:10,1603:45:16:348:2:10004,Gyongyosi jaras,HU010004,,,,Heves,HU010,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:10005,10005,1603:45:16:348:0,1603:45:16:348:1:10,1603:45:16:348:2:10005,Hatvani jaras,HU010005,,,,Heves,HU010,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:10006,10006,1603:45:16:348:0,1603:45:16:348:1:10,1603:45:16:348:2:10006,Hevesi jaras,HU010006,,,,Heves,HU010,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:10007,10007,1603:45:16:348:0,1603:45:16:348:1:10,1603:45:16:348:2:10007,Petervasarai jaras,HU010007,,,,Heves,HU010,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:11001,11001,1603:45:16:348:0,1603:45:16:348:1:11,1603:45:16:348:2:11001,Jaszapati jaras,HU011001,,,,Jasz Nagykun Szolnok,HU011,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:11002,11002,1603:45:16:348:0,1603:45:16:348:1:11,1603:45:16:348:2:11002,Jaszberenyi jaras,HU011002,,,,Jasz Nagykun Szolnok,HU011,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:11003,11003,1603:45:16:348:0,1603:45:16:348:1:11,1603:45:16:348:2:11003,Karcagi jaras,HU011003,,,,Jasz Nagykun Szolnok,HU011,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:11004,11004,1603:45:16:348:0,1603:45:16:348:1:11,1603:45:16:348:2:11004,Kunhegyesi jaras,HU011004,,,,Jasz Nagykun Szolnok,HU011,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:11005,11005,1603:45:16:348:0,1603:45:16:348:1:11,1603:45:16:348:2:11005,Kunszentmartoni jaras,HU011005,,,,Jasz Nagykun Szolnok,HU011,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:11006,11006,1603:45:16:348:0,1603:45:16:348:1:11,1603:45:16:348:2:11006,Mezoturi jaras,HU011006,,,,Jasz Nagykun Szolnok,HU011,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:11007,11007,1603:45:16:348:0,1603:45:16:348:1:11,1603:45:16:348:2:11007,Szolnoki jaras,HU011007,,,,Jasz Nagykun Szolnok,HU011,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:11008,11008,1603:45:16:348:0,1603:45:16:348:1:11,1603:45:16:348:2:11008,Tiszafuredi jaras,HU011008,,,,Jasz Nagykun Szolnok,HU011,Magyarország,HU,2022-03-09,2022-03-22,
