qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:44:1:1,1,1603:45:16:44:0,1603:45:16:44:1:1,Acklins,BS01,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:2,2,1603:45:16:44:0,1603:45:16:44:1:2,Berry Islands,BS02,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:3,3,1603:45:16:44:0,1603:45:16:44:1:3,Biminis,BS03,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:4,4,1603:45:16:44:0,1603:45:16:44:1:4,Black Point,BS04,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:5,5,1603:45:16:44:0,1603:45:16:44:1:5,Cat Island,BS05,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:6,6,1603:45:16:44:0,1603:45:16:44:1:6,Central Abaco,BS06,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:7,7,1603:45:16:44:0,1603:45:16:44:1:7,Central Andros,BS07,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:8,8,1603:45:16:44:0,1603:45:16:44:1:8,Central Eleuthera,BS08,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:9,9,1603:45:16:44:0,1603:45:16:44:1:9,City of Freeport,BS09,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:10,10,1603:45:16:44:0,1603:45:16:44:1:10,Crooked Island,BS10,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:11,11,1603:45:16:44:0,1603:45:16:44:1:11,East Grand Bahama,BS11,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:12,12,1603:45:16:44:0,1603:45:16:44:1:12,Exuma,BS12,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:13,13,1603:45:16:44:0,1603:45:16:44:1:13,Grand Cay,BS13,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:14,14,1603:45:16:44:0,1603:45:16:44:1:14,Harbour Island,BS14,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:15,15,1603:45:16:44:0,1603:45:16:44:1:15,Hope Town,BS15,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:16,16,1603:45:16:44:0,1603:45:16:44:1:16,Inagua,BS16,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:17,17,1603:45:16:44:0,1603:45:16:44:1:17,Long Island,BS17,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:18,18,1603:45:16:44:0,1603:45:16:44:1:18,Mangrove Cay,BS18,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:19,19,1603:45:16:44:0,1603:45:16:44:1:19,Mayaguana,BS19,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:20,20,1603:45:16:44:0,1603:45:16:44:1:20,Moore's Island,BS20,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:21,21,1603:45:16:44:0,1603:45:16:44:1:21,New Providence,BS21,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:22,22,1603:45:16:44:0,1603:45:16:44:1:22,North Abaco,BS22,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:23,23,1603:45:16:44:0,1603:45:16:44:1:23,North Andros,BS23,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:24,24,1603:45:16:44:0,1603:45:16:44:1:24,North Eleuthera,BS24,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:25,25,1603:45:16:44:0,1603:45:16:44:1:25,Ragged Island,BS25,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:26,26,1603:45:16:44:0,1603:45:16:44:1:26,Rum Cay,BS26,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:27,27,1603:45:16:44:0,1603:45:16:44:1:27,San Salvador,BS27,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:28,28,1603:45:16:44:0,1603:45:16:44:1:28,South Abaco,BS28,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:29,29,1603:45:16:44:0,1603:45:16:44:1:29,South Andros,BS29,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:30,30,1603:45:16:44:0,1603:45:16:44:1:30,South Eleuthera,BS30,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:31,31,1603:45:16:44:0,1603:45:16:44:1:31,Spanish Wells,BS31,Bahamas,BS,2009-01-30,2020-11-13,
1603:45:16:44:1:32,32,1603:45:16:44:0,1603:45:16:44:1:32,West Grand Bahama,BS32,Bahamas,BS,2009-01-30,2020-11-13,
