#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_ara+is_arab,#adm1+name+alt2+i_ara+is_arab,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:729:1:1,1,Khartoum,الخرطوم,SD01,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:2,2,North Darfur,شمال دارفور,SD02,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:3,3,South Darfur,جنوب دارفور,SD03,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:4,4,West Darfur,غرب دارفور,SD04,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:5,5,East Darfur,شرق دارفور,SD05,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:6,6,Central Darfur,وسط دارفور,SD06,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:7,7,South Kordofan,جنوب كردفان,SD07,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:8,8,Blue Nile,النيل الأزرق,SD08,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:9,9,White Nile,النيل الأبيض,SD09,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:10,10,Red Sea,البحر الأحمر,SD10,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:11,11,Kassala,كسلا,SD11,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:12,12,Gedaref,القضارف,SD12,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:13,13,North Kordofan,شمال كردفان,SD13,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:14,14,Sennar,سنار,SD14,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:15,15,Aj Jazirah,الجزيرة,SD15,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:16,16,River Nile,نهر النيل,SD16,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:17,17,Northern,الشمالية,SD17,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:18,18,West Kordofan,غرب كردفان,SD18,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:19,19,Abyei PCA,إدارية أبيي,SD19,,,,,,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
