Codicem,Wikidata Property (P code),Wikidata Property (P code) meta,HXL hashtag BCP47 alias ,"HXL hashtag, metadata",HXL hashtag vocabulary,"HXL hashtag, metadata"
#item+conceptum+codicem,#item+rem+i_zxx+is_zmth+ix_wikip,#meta+rem+i_zxx+is_zmth+ix_wikip,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlix,#meta+rem+i_zxx+is_latn+ix_hxl,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc,#meta+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc
1,P2082,/UN M.49 code/,ix_unm49,,+v_unm49,(needs review)
2,P2983,/UNDP country code/,ix_undpcc,http://hdr.undp.org/en/countries,+v_undp_cc,(needs review)
3,P3024,/ITU letter code/,,https://en.wikipedia.org/wiki/List_of_ITU_letter_codes,,
4,,,ix_unpcode,,+v_pcode,https://data.humdata.org/dataset/hxl-master-vocabulary-list
5,P1937,,ix_unlocode,,,
6,P498,,ix_iso4217,,+v_currency,https://data.humdata.org/dataset/hxl-master-vocabulary-list
7,P297,,ix_iso3166p1a2,,+v_iso2,(needs review)
8,P298,,ix_iso3166p1a3,,+v_iso3,https://data.humdata.org/dataset/hxl-master-vocabulary-list
9,P299,,ix_iso3166p1n,,,(needs review)
10,P882,/FIPS 6-4 (US counties)/,ix_usfips,,,
11,P901,/FIPS 10-4 (countries and regions)/,,,,
12,P1566,/GeoNames ID/,ix_geonameid,,,
13,P218,,ix_iso639p1a2,,,
14,P219,,ix_iso639p2a2,,,
15,P220,,ix_iso639p3a3,,,
16,P1394,,ix_glotolog,,,
17,P506,,ix_iso15924a4,,,
18,P2620,,ix_iso15924n,,,
19,P305,,ix_bcp47,,,
20,P229,,,,+v_iata_airline,(needs review)
21,P230,,,,+v_icao_airline,(needs review)
22,P238,,,,+v_iata_airport,(needs review)
23,P239,,,,+v_icao_airport,(needs review)
24,P402,,ix_osmrelid,,,
100,P734,/family name/,,,,
101,P735,/given name/,,,,
,,,,,,
,,,,,,
,,,,,,
200,P1585,/Brazilian municipality code - IBGE code/,,,+v_br_ibge,(needs review)
,,,,,,
300,P2440,/transliteration/,,,,
301,P2441,/literal translation/,,,,
302,P2479,/SPDX license ID/,,,,
303,P2572,/hashtag/,,,,
304,P2671,/Google Knowledge Graph ID/,,,,
,P2859,/X-SAMPA code/,,,,
,P3066,/GLAM Identifier/,,,,
