#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:768:2:101,101,Blitta,TG0101,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:102,102,Plaine du Mo,TG0102,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:103,103,Sotouboua,TG0103,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:104,104,Tchamba,TG0104,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:105,105,Tchaoudjo,TG0105,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:201,201,Assoli,TG0201,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:202,202,Bassar,TG0202,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:203,203,Binah,TG0203,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:204,204,Dankpen,TG0204,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:205,205,Doufelgou,TG0205,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:206,206,Keran,TG0206,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:207,207,Kozah,TG0207,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:301,301,Ave,TG0301,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:302,302,Bas-Mono,TG0302,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:303,303,Golfe,TG0303,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:304,304,Lacs,TG0304,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:305,305,Lome Commune,TG0305,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:306,306,Vo,TG0306,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:307,307,Yoto,TG0307,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:308,308,Zio,TG0308,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:309,309,Agoe-Nyive,TG0309,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:401,401,Amou,TG0401,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:402,402,Wawa,TG0402,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:403,403,Agou,TG0403,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:404,404,Danyi,TG0404,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:405,405,Est-Mono,TG0405,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:406,406,Haho,TG0406,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:407,407,Kpele,TG0407,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:408,408,Moyen-Mono,TG0408,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:409,409,Ogou,TG0409,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:410,410,Akebou,TG0410,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:411,411,Anie,TG0411,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:412,412,Kloto,TG0412,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:513,513,Kpendjal,TG0513,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:514,514,Oti,TG0514,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:515,515,Tandjoare,TG0515,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:516,516,Tone,TG0516,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:517,517,Cinkasse,TG0517,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:518,518,Naki-Ouest,TG0518,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:519,519,Oti-Sud,TG0519,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
