#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:104:3:1014,1014,1603:45:16:104:0,1603:45:16:104:1:1,1603:45:16:104:2:1004,1603:45:16:104:3:1014,Puta-O,ပူတာအို,MM001014,,,,Puta-O,ပူတာအိုခရိုင်,MM001D004,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:1015,1015,1603:45:16:104:0,1603:45:16:104:1:1,1603:45:16:104:2:1004,1603:45:16:104:3:1015,Sumprabum,ဆွမ်ပရာဘွမ်,MM001015,,,,Puta-O,ပူတာအိုခရိုင်,MM001D004,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:1016,1016,1603:45:16:104:0,1603:45:16:104:1:1,1603:45:16:104:2:1004,1603:45:16:104:3:1016,Machanbaw,မချမ်းဘော,MM001016,,,,Puta-O,ပူတာအိုခရိုင်,MM001D004,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:1017,1017,1603:45:16:104:0,1603:45:16:104:1:1,1603:45:16:104:2:1004,1603:45:16:104:3:1017,Nawngmun,နောင်မွန်း,MM001017,,,,Puta-O,ပူတာအိုခရိုင်,MM001D004,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:1018,1018,1603:45:16:104:0,1603:45:16:104:1:1,1603:45:16:104:2:1004,1603:45:16:104:3:1018,Khaunglanhpu,ခေါင်လန်ဖူး,MM001018,,,,Puta-O,ပူတာအိုခရိုင်,MM001D004,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:2001,2001,1603:45:16:104:0,1603:45:16:104:1:2,1603:45:16:104:2:2001,1603:45:16:104:3:2001,Loikaw,လွိုင်ကော်,MM002001,,,,Loikaw,လွိုင်ကော်ခရိုင်,MM002D001,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:2002,2002,1603:45:16:104:0,1603:45:16:104:1:2,1603:45:16:104:2:2001,1603:45:16:104:3:2002,Demoso,ဒီးမော့ဆို,MM002002,,,,Loikaw,လွိုင်ကော်ခရိုင်,MM002D001,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:2003,2003,1603:45:16:104:0,1603:45:16:104:1:2,1603:45:16:104:2:2001,1603:45:16:104:3:2003,Hpruso,ဖရူဆို,MM002003,,,,Loikaw,လွိုင်ကော်ခရိုင်,MM002D001,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:2004,2004,1603:45:16:104:0,1603:45:16:104:1:2,1603:45:16:104:2:2001,1603:45:16:104:3:2004,Shadaw,ရှားတော,MM002004,,,,Loikaw,လွိုင်ကော်ခရိုင်,MM002D001,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:2005,2005,1603:45:16:104:0,1603:45:16:104:1:2,1603:45:16:104:2:2002,1603:45:16:104:3:2005,Bawlake,ဘောလခဲ,MM002005,,,,Bawlake,ဘောလခဲခရိုင်,MM002D002,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:2006,2006,1603:45:16:104:0,1603:45:16:104:1:2,1603:45:16:104:2:2002,1603:45:16:104:3:2006,Hpasawng,ဖားဆောင်း,MM002006,,,,Bawlake,ဘောလခဲခရိုင်,MM002D002,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:2007,2007,1603:45:16:104:0,1603:45:16:104:1:2,1603:45:16:104:2:2002,1603:45:16:104:3:2007,Mese,မယ်စဲ,MM002007,,,,Bawlake,ဘောလခဲခရိုင်,MM002D002,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:3001,3001,1603:45:16:104:0,1603:45:16:104:1:3,1603:45:16:104:2:3001,1603:45:16:104:3:3001,Hpa-An,ဘားအံ,MM003001,,,,Hpa-An,ဘားအံခရိုင်,MM003D001,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:3002,3002,1603:45:16:104:0,1603:45:16:104:1:3,1603:45:16:104:2:3001,1603:45:16:104:3:3002,Hlaingbwe,လှိုင်းဘွဲ့,MM003002,,,,Hpa-An,ဘားအံခရိုင်,MM003D001,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:3003,3003,1603:45:16:104:0,1603:45:16:104:1:3,1603:45:16:104:2:3004,1603:45:16:104:3:3003,Hpapun,ဖာပွန်,MM003003,,,,Hpapun,ဖာပွန်ခရိုင်,MM003D004,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:3004,3004,1603:45:16:104:0,1603:45:16:104:1:3,1603:45:16:104:2:3001,1603:45:16:104:3:3004,Thandaunggyi,သံတောင်ကြီး,MM003004,,,,Hpa-An,ဘားအံခရိုင်,MM003D001,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:3005,3005,1603:45:16:104:0,1603:45:16:104:1:3,1603:45:16:104:2:3002,1603:45:16:104:3:3005,Myawaddy,မြဝတီ,MM003005,,,,Myawaddy,မြဝတီခရိုင်,MM003D002,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:3006,3006,1603:45:16:104:0,1603:45:16:104:1:3,1603:45:16:104:2:3003,1603:45:16:104:3:3006,Kawkareik,ကော့ကရိတ်,MM003006,,,,Kawkareik,ကော့ကရိတ်ခရိုင်,MM003D003,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:3007,3007,1603:45:16:104:0,1603:45:16:104:1:3,1603:45:16:104:2:3003,1603:45:16:104:3:3007,Kyainseikgyi,ကြာအင်းဆိပ်ကြီး,MM003007,,,,Kawkareik,ကော့ကရိတ်ခရိုင်,MM003D003,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:4001,4001,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4001,1603:45:16:104:3:4001,Falam,ဖလမ်း,MM004001,,,,Falam,ဖလမ်းခရိုင်,MM004D001,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:4002,4002,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4003,1603:45:16:104:3:4002,Hakha,ဟားခါး,MM004002,,,,Hakha,ဟားခါးခရိုင်,MM004D003,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:4003,4003,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4003,1603:45:16:104:3:4003,Thantlang,ထန်တလန်,MM004003,,,,Hakha,ဟားခါးခရိုင်,MM004D003,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:4004,4004,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4001,1603:45:16:104:3:4004,Tedim,တီးတိန်,MM004004,,,,Falam,ဖလမ်းခရိုင်,MM004D001,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:4005,4005,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4001,1603:45:16:104:3:4005,Tonzang,တွန်းဇန်,MM004005,,,,Falam,ဖလမ်းခရိုင်,MM004D001,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
