#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:104:3:5009,5009,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5002,1603:45:16:104:3:5009,Ye-U,ရေဦး,MM005009,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5010,5010,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5002,1603:45:16:104:3:5010,Tabayin,ဒီပဲယင်း,MM005010,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5011,5011,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5002,1603:45:16:104:3:5011,Taze,တန့်ဆည်,MM005011,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5012,5012,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5003,1603:45:16:104:3:5012,Monywa,မုံရွာ,MM005012,,,,Monywa,မုံရွာခရိုင်,MM005D003,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5013,5013,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5003,1603:45:16:104:3:5013,Budalin,ဘုတလင်,MM005013,,,,Monywa,မုံရွာခရိုင်,MM005D003,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5014,5014,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5003,1603:45:16:104:3:5014,Ayadaw,အရာတော်,MM005014,,,,Monywa,မုံရွာခရိုင်,MM005D003,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5015,5015,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5003,1603:45:16:104:3:5015,Chaung-U,ချောင်းဦး,MM005015,,,,Monywa,မုံရွာခရိုင်,MM005D003,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5016,5016,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5009,1603:45:16:104:3:5016,Yinmarbin,ယင်းမာပင်,MM005016,,,,Yinmarbin,ယင်းမာပင်ခရိုင်,MM005D009,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5017,5017,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5009,1603:45:16:104:3:5017,Kani,ကနီ,MM005017,,,,Yinmarbin,ယင်းမာပင်ခရိုင်,MM005D009,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5018,5018,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5009,1603:45:16:104:3:5018,Salingyi,ဆားလင်းကြီး,MM005018,,,,Yinmarbin,ယင်းမာပင်ခရိုင်,MM005D009,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5019,5019,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5009,1603:45:16:104:3:5019,Pale,ပုလဲ,MM005019,,,,Yinmarbin,ယင်းမာပင်ခရိုင်,MM005D009,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5020,5020,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5004,1603:45:16:104:3:5020,Katha,ကသာ,MM005020,,,,Katha,ကသာခရိုင်,MM005D004,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5021,5021,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5004,1603:45:16:104:3:5021,Indaw,အင်းတော်,MM005021,,,,Katha,ကသာခရိုင်,MM005D004,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5022,5022,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5004,1603:45:16:104:3:5022,Tigyaing,ထီးချိုင့်,MM005022,,,,Katha,ကသာခရိုင်,MM005D004,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5023,5023,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5004,1603:45:16:104:3:5023,Banmauk,ဗန်းမောက်,MM005023,,,,Katha,ကသာခရိုင်,MM005D004,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5024,5024,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5011,1603:45:16:104:3:5024,Kawlin,ကောလင်း,MM005024,,,,Kawlin,ကောလင်းခရိုင်,MM005D011,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5025,5025,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5011,1603:45:16:104:3:5025,Wuntho,ဝန်းသို,MM005025,,,,Kawlin,ကောလင်းခရိုင်,MM005D011,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5026,5026,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5011,1603:45:16:104:3:5026,Pinlebu,ပင်လည်ဘူး,MM005026,,,,Kawlin,ကောလင်းခရိုင်,MM005D011,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5027,5027,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5005,1603:45:16:104:3:5027,Kale,ကလေး,MM005027,,,,Kale,ကလေးခရိုင်,MM005D005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5028,5028,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5005,1603:45:16:104:3:5028,Kalewa,ကလေးဝ,MM005028,,,,Kale,ကလေးခရိုင်,MM005D005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5029,5029,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5005,1603:45:16:104:3:5029,Mingin,မင်းကင်း,MM005029,,,,Kale,ကလေးခရိုင်,MM005D005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5030,5030,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5006,1603:45:16:104:3:5030,Tamu,တမူး,MM005030,,,,Tamu,တမူးခရိုင်,MM005D006,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5031,5031,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5007,1603:45:16:104:3:5031,Mawlaik,မော်လိုက်,MM005031,,,,Mawlaik,မော်လိုက်ခရိုင်,MM005D007,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5032,5032,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5007,1603:45:16:104:3:5032,Paungbyin,ဖောင်းပြင်,MM005032,,,,Mawlaik,မော်လိုက်ခရိုင်,MM005D007,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5033,5033,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5008,1603:45:16:104:3:5033,Hkamti,ခန္တီး,MM005033,,,,Hkamti,ခန္တီးခရိုင်,MM005D008,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5034,5034,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5008,1603:45:16:104:3:5034,Homalin,ဟုမ္မလင်း,MM005034,,,,Hkamti,ခန္တီးခရိုင်,MM005D008,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5035,5035,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5001,1603:45:16:104:3:5035,Lay Shi,လေရှီး,MM005035,,,,Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM005S001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5036,5036,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5001,1603:45:16:104:3:5036,Lahe,လဟယ်,MM005036,,,,Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM005S001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5037,5037,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5001,1603:45:16:104:3:5037,Nanyun,နန်းယွန်း,MM005037,,,,Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM005S001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:6001,6001,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6001,1603:45:16:104:3:6001,Dawei,ထားဝယ်,MM006001,,,,Dawei,ထားဝယ်ခရိုင်,MM006D001,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:6002,6002,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6001,1603:45:16:104:3:6002,Launglon,လောင်းလုံး,MM006002,,,,Dawei,ထားဝယ်ခရိုင်,MM006D001,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:6003,6003,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6001,1603:45:16:104:3:6003,Thayetchaung,သရက်ချောင်း,MM006003,,,,Dawei,ထားဝယ်ခရိုင်,MM006D001,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:6004,6004,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6001,1603:45:16:104:3:6004,Yebyu,ရေဖြူ,MM006004,,,,Dawei,ထားဝယ်ခရိုင်,MM006D001,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:6005,6005,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6002,1603:45:16:104:3:6005,Myeik,မြိတ်,MM006005,,,,Myeik,မြိတ်ခရိုင်,MM006D002,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:6006,6006,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6002,1603:45:16:104:3:6006,Kyunsu,ကျွန်းစု,MM006006,,,,Myeik,မြိတ်ခရိုင်,MM006D002,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:6007,6007,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6002,1603:45:16:104:3:6007,Palaw,ပုလော,MM006007,,,,Myeik,မြိတ်ခရိုင်,MM006D002,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:6008,6008,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6002,1603:45:16:104:3:6008,Tanintharyi,တနင်္သာရီ,MM006008,,,,Myeik,မြိတ်ခရိုင်,MM006D002,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:6009,6009,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6003,1603:45:16:104:3:6009,Kawthoung,ကော့သောင်း,MM006009,,,,Kawthoung,ကော့သောင်းခရိုင်,MM006D003,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:6010,6010,1603:45:16:104:0,1603:45:16:104:1:6,1603:45:16:104:2:6003,1603:45:16:104:3:6010,Bokpyin,ဘုတ်ပြင်း,MM006010,,,,Kawthoung,ကော့သောင်းခရိုင်,MM006D003,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7001,7001,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7001,1603:45:16:104:3:7001,Bago,ပဲခူး,MM007001,,,,Bago,ပဲခူးခရိုင်,MM007D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7002,7002,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7001,1603:45:16:104:3:7002,Thanatpin,သနပ်ပင်,MM007002,,,,Bago,ပဲခူးခရိုင်,MM007D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7003,7003,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7001,1603:45:16:104:3:7003,Kawa,ကဝ,MM007003,,,,Bago,ပဲခူးခရိုင်,MM007D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7004,7004,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7001,1603:45:16:104:3:7004,Waw,ဝေါ,MM007004,,,,Bago,ပဲခူးခရိုင်,MM007D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7005,7005,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7001,1603:45:16:104:3:7005,Nyaunglebin,ညောင်လေးပင်,MM007005,,,,Bago,ပဲခူးခရိုင်,MM007D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7006,7006,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7001,1603:45:16:104:3:7006,Kyauktaga,ကျောက်တံခါး,MM007006,,,,Bago,ပဲခူးခရိုင်,MM007D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7007,7007,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7001,1603:45:16:104:3:7007,Daik-U,ဒိုက်ဦး,MM007007,,,,Bago,ပဲခူးခရိုင်,MM007D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7008,7008,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7001,1603:45:16:104:3:7008,Shwegyin,ရွှေကျင်,MM007008,,,,Bago,ပဲခူးခရိုင်,MM007D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7009,7009,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7002,1603:45:16:104:3:7009,Taungoo,တောင်ငူ,MM007009,,,,Taungoo,တောင်ငူခရိုင်,MM007D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7010,7010,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7002,1603:45:16:104:3:7010,Yedashe,ရေတာရှည်,MM007010,,,,Taungoo,တောင်ငူခရိုင်,MM007D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7011,7011,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7002,1603:45:16:104:3:7011,Kyaukkyi,ကျောက်ကြီး,MM007011,,,,Taungoo,တောင်ငူခရိုင်,MM007D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7012,7012,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7002,1603:45:16:104:3:7012,Phyu,ဖြူး,MM007012,,,,Taungoo,တောင်ငူခရိုင်,MM007D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7013,7013,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7002,1603:45:16:104:3:7013,Oktwin,အုတ်တွင်း,MM007013,,,,Taungoo,တောင်ငူခရိုင်,MM007D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:7014,7014,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7002,1603:45:16:104:3:7014,Htantabin,ထန်းတပင်,MM007014,,,,Taungoo,တောင်ငူခရိုင်,MM007D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8001,8001,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8001,1603:45:16:104:3:8001,Pyay,ပြည်,MM008001,,,,Pyay,ပြည်ခရိုင်,MM008D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8002,8002,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8001,1603:45:16:104:3:8002,Paukkhaung,ပေါက်ခေါင်း,MM008002,,,,Pyay,ပြည်ခရိုင်,MM008D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8003,8003,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8001,1603:45:16:104:3:8003,Padaung,ပန်းတောင်း,MM008003,,,,Pyay,ပြည်ခရိုင်,MM008D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8004,8004,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8001,1603:45:16:104:3:8004,Paungde,ပေါင်းတည်,MM008004,,,,Pyay,ပြည်ခရိုင်,MM008D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8005,8005,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8001,1603:45:16:104:3:8005,Thegon,သဲကုန်း,MM008005,,,,Pyay,ပြည်ခရိုင်,MM008D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8006,8006,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8001,1603:45:16:104:3:8006,Shwedaung,ရွှေတောင်,MM008006,,,,Pyay,ပြည်ခရိုင်,MM008D001,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
