#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_eng+is_latn,#adm1+name+i_tur+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_tur+is_latn,#adm1+name+alt2+i_tur+is_latn,#country+name+i_eng+is_latn,#country+name+i_tur+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:792:1:1,1,1603:45:16:792:0,1603:45:16:792:1:1,Adana,Adana,TR001,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:2,2,1603:45:16:792:0,1603:45:16:792:1:2,Adiyaman,Adiyaman,TR002,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:3,3,1603:45:16:792:0,1603:45:16:792:1:3,Afyonkarahisar,Afyonkarahisar,TR003,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:4,4,1603:45:16:792:0,1603:45:16:792:1:4,Agri,Ağri,TR004,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:5,5,1603:45:16:792:0,1603:45:16:792:1:5,Amasya,Amasya,TR005,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:6,6,1603:45:16:792:0,1603:45:16:792:1:6,Ankara,Ankara,TR006,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:7,7,1603:45:16:792:0,1603:45:16:792:1:7,Antalya,Antalya,TR007,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:8,8,1603:45:16:792:0,1603:45:16:792:1:8,Artvin,Artvin,TR008,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:9,9,1603:45:16:792:0,1603:45:16:792:1:9,Aydin,Aydin,TR009,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:10,10,1603:45:16:792:0,1603:45:16:792:1:10,Balikesir,Balikesir,TR010,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:11,11,1603:45:16:792:0,1603:45:16:792:1:11,Bilecik,Bilecik,TR011,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:12,12,1603:45:16:792:0,1603:45:16:792:1:12,Bingol,Bingöl,TR012,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
