#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:710:3:1011,1011,Matzikama,ZA1011,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1012,1012,Cederberg,ZA1012,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1013,1013,Bergrivier,ZA1013,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1014,1014,Saldanha Bay,ZA1014,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1015,1015,Swartland,ZA1015,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1022,1022,Witzenberg,ZA1022,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1023,1023,Drakenstein,ZA1023,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1024,1024,Stellenbosch,ZA1024,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1025,1025,Breede Valley,ZA1025,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1026,1026,Langeberg,ZA1026,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1031,1031,Theewaterskloof,ZA1031,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1032,1032,Overstrand,ZA1032,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1033,1033,Cape Agulhas,ZA1033,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1034,1034,Swellendam,ZA1034,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1041,1041,Kannaland,ZA1041,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1042,1042,Hessequa,ZA1042,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1043,1043,Mossel Bay,ZA1043,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1044,1044,George,ZA1044,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1045,1045,Oudtshoorn,ZA1045,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1047,1047,Bitou,ZA1047,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1048,1048,Knysna,ZA1048,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1051,1051,Laingsburg,ZA1051,,,,Central Karoo,ZA105,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1052,1052,Prince Albert,ZA1052,,,,Central Karoo,ZA105,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1053,1053,Beaufort West,ZA1053,,,,Central Karoo,ZA105,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:1910,1910,City of Cape Town,ZA1910,,,,City of Cape Town,ZA191,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2101,2101,Dr Beyers Naude,ZA2101,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2102,2102,Blue Crane Route,ZA2102,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2104,2104,Makana,ZA2104,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2105,2105,Ndlambe,ZA2105,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2106,2106,Sundays River Valley,ZA2106,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2108,2108,Kouga,ZA2108,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2109,2109,Kou-Kamma,ZA2109,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2121,2121,Mbhashe,ZA2121,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2122,2122,Mnquma,ZA2122,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2123,2123,Great Kei,ZA2123,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2124,2124,Amahlathi,ZA2124,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2126,2126,Ngqushwa,ZA2126,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2129,2129,Raymond Mhlaba,ZA2129,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2131,2131,Inxuba Yethemba,ZA2131,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2135,2135,Intsika Yethu,ZA2135,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2136,2136,Emalahleni,ZA2136,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2137,2137,Engcobo,ZA2137,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2138,2138,Sakhisizwe,ZA2138,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2139,2139,Enoch Mgijima,ZA2139,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2141,2141,Elundini,ZA2141,,,,Joe Gqabi,ZA214,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2142,2142,Senqu,ZA2142,,,,Joe Gqabi,ZA214,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2145,2145,Walter Sisulu,ZA2145,,,,Joe Gqabi,ZA214,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2153,2153,Ngquza Hill,ZA2153,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2154,2154,Port St Johns,ZA2154,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2155,2155,Nyandeni,ZA2155,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2156,2156,Mhlontlo,ZA2156,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2157,2157,King Sabata Dalindyebo,ZA2157,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2441,2441,Matatiele,ZA2441,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2442,2442,Umzimvubu,ZA2442,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2443,2443,Mbizana,ZA2443,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
