#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:50:3:100409,100409,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,Amtali,BD100409,,,,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100419,100419,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100419,Bamna,BD100419,,,,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100428,100428,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,Barguna Sadar,BD100428,,,,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100447,100447,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100447,Betagi,BD100447,,,,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100485,100485,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100485,Patharghata,BD100485,,,,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100602,100602,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100602,Agailjhara,BD100602,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100603,100603,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100603,Babuganj,BD100603,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100607,100607,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,Bakerganj,BD100607,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100610,100610,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100610,Banari Para,BD100610,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100632,100632,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100632,Gaurnadi,BD100632,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
