#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:710:2:101,101,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,West Coast,ZA101,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:102,102,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,Cape Winelands,ZA102,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:103,103,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:103,Overberg,ZA103,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:104,104,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:104,Eden,ZA104,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:105,105,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:105,Central Karoo,ZA105,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:191,191,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:191,City of Cape Town,ZA191,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:210,210,1603:45:16:710:0,1603:45:16:710:1:2,1603:45:16:710:2:210,Cacadu,ZA210,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:212,212,1603:45:16:710:0,1603:45:16:710:1:2,1603:45:16:710:2:212,Amathole,ZA212,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:213,213,1603:45:16:710:0,1603:45:16:710:1:2,1603:45:16:710:2:213,Chris Hani,ZA213,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:214,214,1603:45:16:710:0,1603:45:16:710:1:2,1603:45:16:710:2:214,Joe Gqabi,ZA214,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
