#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_eng+is_latn,#adm3+name+i_swa+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_swa+is_latn,#adm3+name+alt2+i_swa+is_latn,#adm2+name+i_eng+is_latn,#adm2+name+i_swa+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_swa+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_swa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:834:3:101011,101011,Bumbuta,,TZ0101011,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101021,101021,Pahi,,TZ0101021,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101031,101031,Busi,,TZ0101031,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101041,101041,Haubi,,TZ0101041,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101051,101051,Kalamba,,TZ0101051,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101061,101061,Kwadelo,,TZ0101061,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101071,101071,Masange,,TZ0101071,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101081,101081,Kikilo,,TZ0101081,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101091,101091,Bereko,,TZ0101091,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101101,101101,Kisese,,TZ0101101,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
