#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:694:3:10101,10101,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10101,Dea,SL010101,Dea,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10102,10102,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10102,Jawie,SL010102,Jawie,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10103,10103,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10103,Kissi Kama,SL010103,Kissi Kama,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10104,10104,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10104,Kissi Teng,SL010104,Kissi Teng,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10105,10105,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10105,Kissi Tongi,SL010105,Kissi Tongi,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10106,10106,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10106,Kpeje Bongre,SL010106,Kpeje Bongre,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10107,10107,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10107,Kpeje West,SL010107,Kpeje West,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10108,10108,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10108,Luawa,SL010108,Luawa,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10109,10109,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10109,Malema,SL010109,Malema,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10110,10110,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10110,Mandu,SL010110,Mandu,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10111,10111,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10111,Njaluahun,SL010111,Njaluahun,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10112,10112,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10112,Penguia,SL010112,Penguia,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10113,10113,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10113,Upper Bambara,SL010113,Upper Bambara,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10114,10114,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,1603:45:16:694:3:10114,Yawei,SL010114,Yawei,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10201,10201,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10201,Dama,SL010201,Dama,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10202,10202,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10202,Dodo,SL010202,Dodo,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10203,10203,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10203,Gaura,SL010203,Gaura,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10204,10204,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10204,Gorama Mende,SL010204,Gorama Mende,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10205,10205,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10205,Kandu Leppiama,SL010205,Kandu Leppiama,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10206,10206,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10206,Koya,SL010206,Koya,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10207,10207,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10207,Langrama,SL010207,Langrama,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10208,10208,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10208,Lower Bambara,SL010208,Lower Bambara,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
