#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Ainaro,TL010101,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Suro-Craik,TL010102,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Soro,TL010103,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Manutasi,TL010104,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Cassa,TL010105,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Mau-Ulo,TL010106,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Mau-Nuno,TL010107,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Mulo,TL010201,,,,Hatu-Builico,TL0102,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Nuno-Mogue,TL010202,,,,Hatu-Builico,TL0102,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Mau-Chiga,TL010203,,,,Hatu-Builico,TL0102,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Maubisse,TL010301,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Manelobas,TL010302,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Manetu,TL010303,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Aitutu,TL010304,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Edi,TL010305,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Maulau,TL010306,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Horai-Quic,TL010307,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Suco Liurai,TL010308,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Fatu-Besi,TL010309,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Lleolima,TL010401,,,,Hatu-Udo,TL0104,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Foho-ai-Lico,TL010402,,,,Hatu-Udo,TL0104,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Aisirimou,TL020101,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Bandudato,TL020102,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Fahiria,TL020103,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Fatubosa,TL020104,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Lahae,TL020105,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Lausi,TL020106,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Hoholau,TL020107,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Seloi Malere,TL020108,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Seloi Craic,TL020109,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Saboria,TL020110,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Suco Liurai,TL020111,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Namoleso,TL020201,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Acubilitoho,TL020202,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Betulau,TL020203,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Faturilau,TL020204,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Bereleu,TL020205,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Fahisoi,TL020206,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Manucasa,TL020207,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Acumau,TL020301,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Tulataqueo,TL020302,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Suco-Liurai,TL020303,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Faturasa,TL020304,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Fadabloco,TL020305,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Maumeta,TL020306,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Hautoho,TL020307,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Fahisoi,TL020308,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Cotolau,TL020401,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Talitu,TL020402,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Madabeno,TL020403,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Tohumeta,TL020404,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Fatisi,TL020405,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Bahu,TL030101,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Bucoli,TL030102,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Buruma,TL030103,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Buibau,TL030104,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Wailili,TL030105,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Samalari,TL030106,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Fariuai,TL030107,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Triloca,TL030108,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Trilolo,TL030109,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Seical,TL030110,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Caibada,TL030111,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Atelari,TL030201,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Tequino Mata,TL030202,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Soba,TL030203,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Samalari,TL030204,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
