#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Abra,PH140100000,,,,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2016-06-30,2020-05-29,
Agusan del Norte,PH160200000,,,,Region XIII,PH160000000,Philippines (the),PH,2016-06-30,2020-05-29,
Agusan del Sur,PH160300000,,,,Region XIII,PH160000000,Philippines (the),PH,2016-06-30,2020-05-29,
Aklan,PH060400000,,,,Region VI,PH060000000,Philippines (the),PH,2016-06-30,2020-05-29,
Albay,PH050500000,,,,Region V,PH050000000,Philippines (the),PH,2016-06-30,2020-05-29,
Antique,PH060600000,,,,Region VI,PH060000000,Philippines (the),PH,2016-06-30,2020-05-29,
Apayao,PH148100000,,,,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2016-06-30,2020-05-29,
Aurora,PH037700000,,,,Region III,PH030000000,Philippines (the),PH,2016-06-30,2020-05-29,
Basilan,PH150700000,,,,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,2016-06-30,2020-05-29,
Bataan,PH030800000,,,,Region III,PH030000000,Philippines (the),PH,2016-06-30,2020-05-29,
Batanes,PH020900000,,,,Region II,PH020000000,Philippines (the),PH,2016-06-30,2020-05-29,
Batangas,PH041000000,,,,Region IV-A,PH040000000,Philippines (the),PH,2016-06-30,2020-05-29,
Benguet,PH141100000,,,,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2016-06-30,2020-05-29,
Biliran,PH087800000,,,,Region VIII,PH080000000,Philippines (the),PH,2016-06-30,2020-05-29,
Bohol,PH071200000,,,,Region VII,PH070000000,Philippines (the),PH,2016-06-30,2020-05-29,
Bukidnon,PH101300000,,,,Region X,PH100000000,Philippines (the),PH,2016-06-30,2020-05-29,
Bulacan,PH031400000,,,,Region III,PH030000000,Philippines (the),PH,2016-06-30,2020-05-29,
Cagayan,PH021500000,,,,Region II,PH020000000,Philippines (the),PH,2016-06-30,2020-05-29,
Camarines Norte,PH051600000,,,,Region V,PH050000000,Philippines (the),PH,2016-06-30,2020-05-29,
