#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Barima-Waini,GY01,,,,Guyana,GY,2021-06-23,2021-06-23,
Pomeroon-Supenaam,GY02,,,,Guyana,GY,2021-06-23,2021-06-23,
Essequibo Islands-West Demerara,GY03,,,,Guyana,GY,2021-06-23,2021-06-23,
Demerara-Mahaica,GY04,,,,Guyana,GY,2021-06-23,2021-06-23,
Mahaica Berbice,GY05,,,,Guyana,GY,2021-06-23,2021-06-23,
East Berbice-Corentyne,GY06,,,,Guyana,GY,2021-06-23,2021-06-23,
Cuyuni-Mazaruni,GY07,,,,Guyana,GY,2021-06-23,2021-06-23,
Potaro-Siparuni,GY08,,,,Guyana,GY,2021-06-23,2021-06-23,
Upper Takutu-Upper Essequibo,GY09,,,,Guyana,GY,2021-06-23,2021-06-23,
Upper Demerara-Berbice,GY10,,,,Guyana,GY,2021-06-23,2021-06-23,
