#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Blitta,TG0101,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Plaine du Mo,TG0102,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Sotouboua,TG0103,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Tchamba,TG0104,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Tchaoudjo,TG0105,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Assoli,TG0201,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
Bassar,TG0202,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
Binah,TG0203,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
Dankpen,TG0204,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
Doufelgou,TG0205,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
Keran,TG0206,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
Kozah,TG0207,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
Ave,TG0301,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
Bas-Mono,TG0302,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
Golfe,TG0303,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
Lacs,TG0304,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
Lome Commune,TG0305,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
Vo,TG0306,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
Yoto,TG0307,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
Zio,TG0308,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
Agoe-Nyive,TG0309,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
Amou,TG0401,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Wawa,TG0402,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Agou,TG0403,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Danyi,TG0404,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Est-Mono,TG0405,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Haho,TG0406,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Kpele,TG0407,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Moyen-Mono,TG0408,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Ogou,TG0409,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Akebou,TG0410,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Anie,TG0411,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Kloto,TG0412,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
Kpendjal,TG0513,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
Oti,TG0514,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
Tandjoare,TG0515,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
Tone,TG0516,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
Cinkasse,TG0517,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
Naki-Ouest,TG0518,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
Oti-Sud,TG0519,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
