#adm2+name+i_por+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_por+is_latn,#adm2+name+alt2+i_por+is_latn,#adm1+name+i_por+is_latn,#adm1+code+v_pcode,#country+name+i_por+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Pagué,ST0101,,,,Príncipe,ST01,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
Água Grande,ST0201,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
Cantagalo,ST0202,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
Caué,ST0203,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
Lembá,ST0204,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
Lobata,ST0205,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
Mé-Zóchi,ST0206,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
