#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bua,FJ10201,,,,Bua ,FJ102,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Vuya,FJ10202,,,,Bua ,FJ102,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Wainunu,FJ10203,,,,Bua ,FJ102,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Cakaudrove,FJ10301,,,,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Nasavusavu,FJ10302,,,,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Rabi,FJ10303,,,,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Saqani,FJ10304,,,,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Tunuloa,FJ10305,,,,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Vaturova,FJ10306,,,,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Wailevu,FJ10307,,,,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Wainikeli,FJ10308,,,,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Cikobia,FJ10701,,,,Macuata,FJ107,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Dogotoki,FJ10702,,,,Macuata,FJ107,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Labasa,FJ10703,,,,Macuata,FJ107,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Macuata,FJ10704,,,,Macuata,FJ107,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Sasa,FJ10705,,,,Macuata,FJ107,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Ba,FJ20101,,,,Ba ,FJ201,Western,FJ2,Fiji Islands,FJ,2018-01-15,2019-12-30,
Magodro,FJ20102,,,,Ba ,FJ201,Western,FJ2,Fiji Islands,FJ,2018-01-15,2019-12-30,
