#adm2+name+i_eng+is_latn,#adm2+name+i_rus+is_cyrl,#adm2+name+i_kir+is_zyyy,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_rus+is_cyrl,#adm2+name+alt2+i_rus+is_cyrl,#adm2+name+alt1+i_kir+is_zyyy,#adm2+name+alt2+i_kir+is_zyyy,#adm1+name+i_eng+is_latn,#adm1+name+i_rus+is_cyrl,#adm1+name+i_kir+is_zyyy,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_rus+is_cyrl,#country+name+i_kir+is_zyyy,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end,#meta+admin2+type_en,#meta+admin2+type_ru,#meta+admin2+type_ky
Mailuu-Suu (city),г.Майлуу-Суу,Майлуу-Суу ш.,KG03430000010,,,,,,,,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,города областного значения,шаар
Kara-Kul (city),Кара-Куль,Кара-Көл ш.,KG03440000010,,,,,,,,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,города областного значения,шаар
Ak-Tala,Ак-Талинский,Ак-Талаа,KG04210000000,,,,,,,,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Ak-Bashy,Ат-Башынский,Ат-Башы,KG04220000000,,,,,,,,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Jumgal,Жумгальский,Жумгал,KG04230000000,,,,,,,,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Kochokor,Кочкорский,Кочкор,KG04235000000,,,,,,,,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Naryn,Нарынский,Нарын,KG04245000000,,,,,,,,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Naryn (city),г.Нарын,Нарын ш.,KG04400000010,,,,,,,,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,города областного значения,шаар
Batken,Баткенский,Баткен,KG05214000000,,,,,,,,Batken,Баткенская,Баткен,KG05000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Leilek,Лейлекский,Лейлек,KG05236000000,,,,,,,,Batken,Баткенская,Баткен,KG05000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
