#adm1+name+i_eng+is_latn,#adm1+name+i_tha+is_thai,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_tha+is_thai,#adm1+name+alt2+i_tha+is_thai,#country+name+i_eng+is_latn,#country+name+i_tha+is_thai,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bangkok,กรุงเทพมหานคร,TH10,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Samut Prakan,สมุทรปราการ,TH11,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nonthaburi,นนทบุรี,TH12,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Pathum Thani,ปทุมธานี,TH13,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ang Thong,อ่างทอง,TH15,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lop Buri,ลพบุรี,TH16,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sing Buri,สิงห์บุรี,TH17,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chai Nat,ชัยนาท,TH18,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Saraburi,สระบุรี,TH19,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chon Buri,ชลบุรี,TH20,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Rayong,ระยอง,TH21,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chanthaburi,จันทบุรี,TH22,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Trat,ตราด,TH23,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chachoengsao,ฉะเชิงเทรา,TH24,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Prachin Buri,ปราจีนบุรี,TH25,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nakhon Nayok,นครนายก,TH26,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sa Kaeo,สระแก้ว,TH27,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nakhon Ratchasima,นครราชสีมา,TH30,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Buri Ram,บุรีรัมย์,TH31,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Surin,สุรินทร์,TH32,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Si Sa Ket,ศรีสะเกษ,TH33,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ubon Ratchathani,อุบลราชธานี,TH34,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Yasothon,ยโสธร,TH35,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chaiyaphum,ชัยภูมิ,TH36,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Amnat Charoen,อำนาจเจริญ,TH37,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bueng Kan,บึงกาฬ,TH38,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Bua Lam Phu,หนองบัวลำภู,TH39,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khon Kaen,ขอนแก่น,TH40,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Udon Thani,อุดรธานี,TH41,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Loei,เลย,TH42,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Khai,หนองคาย,TH43,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Maha Sarakham,มหาสารคาม,TH44,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Roi Et,ร้อยเอ็ด,TH45,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kalasin,กาฬสินธุ์,TH46,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sakon Nakhon,สกลนคร,TH47,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nakhon Phanom,นครพนม,TH48,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mukdahan,มุกดาหาร,TH49,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chiang Mai,เชียงใหม่,TH50,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lamphun,ลำพูน,TH51,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lampang,ลำปาง,TH52,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Uttaradit,อุตรดิตถ์,TH53,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phrae,แพร่,TH54,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nan,น่าน,TH55,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phayao,พะเยา,TH56,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chiang Rai,เชียงราย,TH57,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mae Hong Son,แม่ฮ่องสอน,TH58,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nakhon Sawan,นครสวรรค์,TH60,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Uthai Thani,อุทัยธานี,TH61,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kamphaeng Phet,กำแพงเพชร,TH62,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Tak,ตาก,TH63,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sukhothai,สุโขทัย,TH64,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phitsanulok,พิษณุโลก,TH65,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phichit,พิจิตร,TH66,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
