#adm3+name+i_eng+is_latn,#adm3+name+i_sin+is_sinh,#adm3+name+i_tam+is_taml,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_sin+is_sinh,#adm3+name+alt2+i_sin+is_sinh,#adm3+name+alt1+i_tam+is_taml,#adm3+name+alt2+i_tam+is_taml,#adm2+name+i_eng+is_latn,#adm2+name+i_sin+is_sinh,#adm2+name+i_tam+is_taml,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_sin+is_sinh,#adm1+name+i_tam+is_taml,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_sin+is_sinh,#country+name+i_tam+is_taml,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Ratmalana,රත්මලාන,இரத்மலானை,LK1131,,,,,,,,Colombo,කොළඹ දිස්ත්‍රික්කය,கொழும்பு மாவட்டம்,LK11,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Moratuwa,මොරටුව,மொரட்டுவை,LK1133,,,,,,,,Colombo,කොළඹ දිස්ත්‍රික්කය,கொழும்பு மாவட்டம்,LK11,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Kesbewa,කැස්බෑව,கெஸ்பவை,LK1136,,,,,,,,Colombo,කොළඹ දිස්ත්‍රික්කය,கொழும்பு மாவட்டம்,LK11,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Negombo,මීගමුව,நீர்கொழும்பு,LK1203,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Katana,කටාන,கந்தானை,LK1206,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Divulapitiya,දිවුලපිටිය,திவுலபிட்டிய,LK1209,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Mirigama,මීරිගම,மீரிகமை,LK1212,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Minuwangoda,මිනුවන්ගොඩ,மினுவாங்கொடை,LK1215,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Wattala,වත්තල,வத்தளை,LK1218,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Ja Ela,ජා-ඇල,யா-எலை,LK1221,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
