#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
01,ZW102101,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
02,ZW102102,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
03,ZW102103,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
04,ZW102104,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
05,ZW102105,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
06,ZW102106,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
07,ZW102107,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
08,ZW102108,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
09,ZW102109,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
10,ZW102110,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
11,ZW102111,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
12,ZW102112,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
13,ZW102113,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
14,ZW102114,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
15,ZW102115,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
16,ZW102116,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
17,ZW102117,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
18,ZW102118,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
19,ZW102119,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
20,ZW102120,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
21,ZW102121,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
22,ZW102122,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
23,ZW102123,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
24,ZW102124,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
25,ZW102125,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
26,ZW102126,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
27,ZW102127,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
28,ZW102128,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
29,ZW102129,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2018-09-11,
01,ZW110101,,,,Buhera,ZW1101,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2018-09-11,
