#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_ara+is_arab,#adm1+name+alt2+i_ara+is_arab,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
East,الشرق,LY01,,,,,,Libya,ليبيا,LY,2016-11-30,2018-05-07,
West,الغرب,LY02,,,,,,Libya,ليبيا,LY,2016-11-30,2018-05-07,
South,الجنوب,LY03,,,,,,Libya,ليبيا,LY,2016-11-30,2018-05-07,
