#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_ara+is_arab,#adm1+name+alt2+i_ara+is_arab,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Boujdour,,EH01,,Bojador,,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
Es Semara,,EH02,,Smara,,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
Laayoune,,EH03,,El Aaiún,,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
Oued el Dahab,,EH04,,Ed Dakhla,Oued Eddahab,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
