#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Torba,VU01,,,,Vanuatu,VU,2017-10-31,2018-08-24,
Sanma,VU02,,,,Vanuatu,VU,2017-10-31,2018-08-24,
Penama,VU03,,,,Vanuatu,VU,2017-10-31,2018-08-24,
Malampa,VU04,,,,Vanuatu,VU,2017-10-31,2018-08-24,
Shefa,VU05,,,,Vanuatu,VU,2017-10-31,2018-08-24,
Tafea,VU06,,,,Vanuatu,VU,2017-10-31,2018-08-24,
