#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Low Lands,SX1,,,,Sint Maarten,SX,2018-09-14,2019-11-10,
Simpson Bay,SX2,,,,Sint Maarten,SX,2018-09-14,2019-11-10,
Cole Bay,SX3,,,,Sint Maarten,SX,2018-09-14,2019-11-10,
Cul-de-Sac,SX4,,,,Sint Maarten,SX,2018-09-14,2019-11-10,
Little Bay Area,SX5,,,,Sint Maarten,SX,2018-09-14,2019-11-10,
Philipsburg,SX6,,,,Sint Maarten,SX,2018-09-14,2019-11-10,
Lower Princess Quarter,SX7,,,,Sint Maarten,SX,2018-09-14,2019-11-10,
Upper Princess Quarter,SX8,,,,Sint Maarten,SX,2018-09-14,2019-11-10,
