#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Aoujeft,MR0101,,,,Adrar,MR01,Mauritania,MR,2017-08-09,2022-03-23,
Atar,MR0102,,,,Adrar,MR01,Mauritania,MR,2017-08-09,2022-03-23,
Chinguitti,MR0103,,,,Adrar,MR01,Mauritania,MR,2017-08-09,2022-03-23,
Ouadane,MR0104,,,,Adrar,MR01,Mauritania,MR,2017-08-09,2022-03-23,
Barkeol,MR0201,,,,Assaba,MR02,Mauritania,MR,2017-08-09,2022-03-23,
Boumdeid,MR0202,,,,Assaba,MR02,Mauritania,MR,2017-08-09,2022-03-23,
Guerrou,MR0203,,,,Assaba,MR02,Mauritania,MR,2017-08-09,2022-03-23,
Kankossa,MR0204,,,,Assaba,MR02,Mauritania,MR,2017-08-09,2022-03-23,
Kiffa,MR0205,,,,Assaba,MR02,Mauritania,MR,2017-08-09,2022-03-23,
Aleg,MR0301,,,,Brakna,MR03,Mauritania,MR,2017-08-09,2022-03-23,
Bababe,MR0302,,,,Brakna,MR03,Mauritania,MR,2017-08-09,2022-03-23,
Boghe,MR0303,,,,Brakna,MR03,Mauritania,MR,2017-08-09,2022-03-23,
Magta lahjar,MR0304,,,,Brakna,MR03,Mauritania,MR,2017-08-09,2022-03-23,
M'Bagne,MR0305,MBagne,,,Brakna,MR03,Mauritania,MR,2017-08-09,2022-03-23,
Chami,MR0401,,,,Dakhlet-Nouadhibou,MR04,Mauritania,MR,2017-08-09,2022-03-23,
Nouadhibou,MR0402,,,,Dakhlet-Nouadhibou,MR04,Mauritania,MR,2017-08-09,2022-03-23,
Kaedi,MR0501,,,,Gorgol,MR05,Mauritania,MR,2017-08-09,2022-03-23,
Maghama,MR0502,,,,Gorgol,MR05,Mauritania,MR,2017-08-09,2022-03-23,
M'bout,MR0503,Mbout,,,Gorgol,MR05,Mauritania,MR,2017-08-09,2022-03-23,
Monguel,MR0504,,,,Gorgol,MR05,Mauritania,MR,2017-08-09,2022-03-23,
Ghabou,MR0601,,,,Guidimakha,MR06,Mauritania,MR,2017-08-09,2022-03-23,
Ould Yenge,MR0602,,,,Guidimakha,MR06,Mauritania,MR,2017-08-09,2022-03-23,
Selibabi,MR0603,,,,Guidimakha,MR06,Mauritania,MR,2017-08-09,2022-03-23,
Amourj,MR0701,,,,Hodh El Chargi,MR07,Mauritania,MR,2017-08-09,2022-03-23,
Basseknou,MR0702,,,,Hodh El Chargi,MR07,Mauritania,MR,2017-08-09,2022-03-23,
Djigueni,MR0703,,,,Hodh El Chargi,MR07,Mauritania,MR,2017-08-09,2022-03-23,
Moughataa d'Enneama,MR0704,Moughataa dEnneama,,,Hodh El Chargi,MR07,Mauritania,MR,2017-08-09,2022-03-23,
N'beiket Lehouach,MR0705,Nbeiket Lehouach,,,Hodh El Chargi,MR07,Mauritania,MR,2017-08-09,2022-03-23,
Oualata,MR0706,,,,Hodh El Chargi,MR07,Mauritania,MR,2017-08-09,2022-03-23,
Timbedgha,MR0707,,,,Hodh El Chargi,MR07,Mauritania,MR,2017-08-09,2022-03-23,
Eayoune El Atrous,MR0801,,,,Hodh El Gharbi,MR08,Mauritania,MR,2017-08-09,2022-03-23,
Koubenni,MR0802,,,,Hodh El Gharbi,MR08,Mauritania,MR,2017-08-09,2022-03-23,
Tamchekett,MR0803,,,,Hodh El Gharbi,MR08,Mauritania,MR,2017-08-09,2022-03-23,
Tintane,MR0804,,,,Hodh El Gharbi,MR08,Mauritania,MR,2017-08-09,2022-03-23,
Akjoujt,MR0901,,,,Inchiri,MR09,Mauritania,MR,2017-08-09,2022-03-23,
Benichab,MR0902,,,,Inchiri,MR09,Mauritania,MR,2017-08-09,2022-03-23,
Arafat,MR1001,,,,Nouakchott,MR10,Mauritania,MR,2017-08-09,2022-03-23,
Dar Naim,MR1002,,,,Nouakchott,MR10,Mauritania,MR,2017-08-09,2022-03-23,
El Mina,MR1003,,,,Nouakchott,MR10,Mauritania,MR,2017-08-09,2022-03-23,
Ksar,MR1004,,,,Nouakchott,MR10,Mauritania,MR,2017-08-09,2022-03-23,
Riyadh,MR1005,,,,Nouakchott,MR10,Mauritania,MR,2017-08-09,2022-03-23,
Sebkha,MR1006,,,,Nouakchott,MR10,Mauritania,MR,2017-08-09,2022-03-23,
Tevragh Zein,MR1007,,,,Nouakchott,MR10,Mauritania,MR,2017-08-09,2022-03-23,
Teyarett,MR1008,,,,Nouakchott,MR10,Mauritania,MR,2017-08-09,2022-03-23,
Toujounine,MR1009,,,,Nouakchott,MR10,Mauritania,MR,2017-08-09,2022-03-23,
El Mejrya,MR1101,,,,Tagant,MR11,Mauritania,MR,2017-08-09,2022-03-23,
Tichitt,MR1102,,,,Tagant,MR11,Mauritania,MR,2017-08-09,2022-03-23,
Tijigja,MR1103,,,,Tagant,MR11,Mauritania,MR,2017-08-09,2022-03-23,
Boutilimitt,MR1201,,,,Trarza,MR12,Mauritania,MR,2017-08-09,2022-03-23,
Keur Macene,MR1202,,,,Trarza,MR12,Mauritania,MR,2017-08-09,2022-03-23,
Mederdra,MR1203,,,,Trarza,MR12,Mauritania,MR,2017-08-09,2022-03-23,
Ouad Naga,MR1204,,,,Trarza,MR12,Mauritania,MR,2017-08-09,2022-03-23,
R'Kiz,MR1205,RKiz,,,Trarza,MR12,Mauritania,MR,2017-08-09,2022-03-23,
Rosso,MR1206,,,,Trarza,MR12,Mauritania,MR,2017-08-09,2022-03-23,
Bir Moghrein,MR1301,,,,Tris-Zemmour,MR13,Mauritania,MR,2017-08-09,2022-03-23,
F'Derick,MR1302,FDerick,,,Tris-Zemmour,MR13,Mauritania,MR,2017-08-09,2022-03-23,
Zoueratt,MR1303,,,,Tris-Zemmour,MR13,Mauritania,MR,2017-08-09,2022-03-23,
