#adm3+name+i_fra+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Komki-Ipala,BF130001,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-18,2020-03-23,
Komsilga,BF130002,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-18,2020-03-23,
Koubri,BF130003,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-18,2020-03-23,
Ouagadougou,BF130004,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-18,2020-03-23,
Pabré,BF130005,Pabre,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-18,2020-03-23,
Saaba,BF130006,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-18,2020-03-23,
Tanguen-Dassouri,BF130007,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-18,2020-03-23,
Bagassi,BF460101,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Bana,BF460102,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Boromo,BF460103,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Fara,BF460104,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Ouri,BF460105,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Pâ,BF460106,Pa,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Pompoï,BF460107,Pompoi,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Poura,BF460108,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Siby,BF460109,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Yaho,BF460110,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Balavé,BF460201,Balave,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Kouka,BF460202,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Sami,BF460203,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Sanaba,BF460204,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Solenzo,BF460205,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Tansila,BF460206,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Barani,BF460301,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Bomborokui,BF460302,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Bourasso,BF460303,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Djibasso,BF460304,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Dokui,BF460305,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Doumbala,BF460306,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Kombori,BF460307,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Madouba,BF460308,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
