#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
TA Mwabulambya,MW10101,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Mwenemisuku,MW10102,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Mwenewenya,MW10103,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Nthalire,MW10104,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Kameme,MW10105,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
Nyika National Park - Chitipa,MW10106,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
Chitipa Boma,MW10120,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Kilupula,MW10201,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Mwakaboko,MW10202,,STA Mwakaboko,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Kyungu,MW10203,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Wasambo,MW10204,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Mwirang'ombe,MW10205,SC Mwirangombe,STA Mwirang'ombe,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
Nyika National Park - Karonga,MW10206,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
Karonga Town,MW10220,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Kabunduli,MW10301,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Fukamapiri,MW10302,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Malenga Mzoma,MW10303,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Malanda,MW10304,,STA Malanda,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Zilakoma,MW10305,,STA Zilakoma,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Mankhambira,MW10306,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Fukamalaza,MW10307,,STA Fukamalaza,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Mkumbira,MW10308,,STA Mkumbira,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Musisya,MW10309,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Nyaluwanga,MW10310,,STA Nyaluwanga,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Mkondowe,MW10311,,STA Mkondowe,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Timbiri,MW10312,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Boghoyo,MW10313,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
Nkhata Bay Boma,MW10320,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Chikulamayembe,MW10401,,,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Mwamlowe,MW10402,,,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Mwahenga,MW10403,,S/C Mwahenga,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Mwalweni,MW10404,,S/C Mwalweni,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Kachulu,MW10405,,S/C Kachulu,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Chapinduka,MW10406,,S/C Chapinduka,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Mwankhunikira,MW10407,,S/C Mwankhunikira,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Katumbi,MW10408,,,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Zolokere,MW10409,,S/C Zolokere,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
Nyika National Park - Rumphi,MW10410,,,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
Vwaza Marsh Reserve - Rumphi,MW10411,,Vwaza Game Reserve,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
Rumphi Boma,MW10420,,,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA M'Mbelwa,MW10501,TA MMbelwa,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Mtwalo,MW10502,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Kampingo Sibande,MW10503,,S/C Kampingo Sibande,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
SC Jaravikuba Munthali,MW10504,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
TA Chindi,MW10505,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-09-03,2018-10-16,
