#adm2+name+i_spa+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_spa+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Provincia Duarte,,DO0101,Provincia Duarte,,,,,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Hermanas Mirabal,,DO0102,Provincia Hermanas Mirabal,,,,,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia María Trinidad Sánchez,,DO0103,Provincia Maria Trinidad Sanchez,,,,,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Samaná,,DO0104,Provincia Samana,,,,,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Dajabón,,DO0201,Provincia Dajabon,,,,,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Monte Cristi,,DO0202,Provincia Monte Cristi,,,,,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Santiago Rodríguez,,DO0203,Provincia Santiago Rodriguez,,,,,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Valverde,,DO0204,Provincia Valverde,,,,,Región Cibao Noroeste,,DO02,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Espaillat,,DO0301,Provincia Espaillat,,,,,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Puerto Plata,,DO0302,Provincia Puerto Plata,,,,,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Santiago,,DO0303,Provincia Santiago,,,,,Región Cibao Norte,,DO03,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia La Vega,,DO0401,Provincia La Vega,,,,,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Monseñor Nouel,,DO0402,Provincia Monsenor Nouel,,,,,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Sánchez Ramírez,,DO0403,Provincia Sanchez Ramirez,,,,,Región Cibao Sur,,DO04,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Elías Piña,,DO0501,Provincia Elias Pina,,,,,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia San Juan,,DO0502,Provincia San Juan,,,,,Región El Valle,,DO05,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Baoruco,,DO0601,Provincia Baoruco,,,,,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Barahona,,DO0602,Provincia Barahona,,,,,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Independencia,,DO0603,Provincia Independencia,,,,,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Pedernales,,DO0604,Provincia Pedernales,,,,,Región Enriquillo,,DO06,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Hato Mayor,,DO0701,Provincia Hato Mayor,,,,,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Monte Plata,,DO0702,Provincia Monte Plata,,,,,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia San Pedro de Macorís,,DO0703,Provincia San Pedro de Macoris,,,,,Región Higuamo,,DO07,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Distrito Nacional,,DO0801,Distrito Nacional,,,,,Región Ozama,,DO08,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Santo Domingo,,DO0802,Provincia Santo Domingo,,,,,Región Ozama,,DO08,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Azua,,DO0901,Provincia Azua,,,,,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia Peravia,,DO0902,Provincia Peravia,,,,,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia San Cristóbal,,DO0903,Provincia San Cristobal,,,,,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia San José de Ocoa,,DO0904,Provincia San Jose de Ocoa,,,,,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia El Seibo,,DO1001,Provincia El Seibo,,,,,Región Yuma,,DO10,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia La Altagracia,,DO1002,Provincia La Altagracia,,,,,Región Yuma,,DO10,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Provincia La Romana,,DO1003,Provincia La Romana,,,,,Región Yuma,,DO10,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
