#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Aguascalientes,MX01,,,,México,MX,2020-06-23,2021-06-23,
Baja California,MX02,,,,México,MX,2020-06-23,2021-06-23,
Baja California Sur,MX03,,,,México,MX,2020-06-23,2021-06-23,
Campeche,MX04,,,,México,MX,2020-06-23,2021-06-23,
Coahuila de Zaragoza,MX05,,,,México,MX,2020-06-23,2021-06-23,
Colima,MX06,,,,México,MX,2020-06-23,2021-06-23,
Chiapas,MX07,,,,México,MX,2020-06-23,2021-06-23,
Chihuahua,MX08,,,,México,MX,2020-06-23,2021-06-23,
Distrito Federal,MX09,,,,México,MX,2020-06-23,2021-06-23,
Durango,MX10,,,,México,MX,2020-06-23,2021-06-23,
Guanajuato,MX11,,,,México,MX,2020-06-23,2021-06-23,
Guerrero,MX12,,,,México,MX,2020-06-23,2021-06-23,
Hidalgo,MX13,,,,México,MX,2020-06-23,2021-06-23,
Jalisco,MX14,,,,México,MX,2020-06-23,2021-06-23,
México,MX15,Mexico,,,México,MX,2020-06-23,2021-06-23,
Michoacán de Ocampo,MX16,Michoacan de Ocampo,,,México,MX,2020-06-23,2021-06-23,
Morelos,MX17,,,,México,MX,2020-06-23,2021-06-23,
Nayarit,MX18,,,,México,MX,2020-06-23,2021-06-23,
Nuevo León,MX19,Nuevo Leon,,,México,MX,2020-06-23,2021-06-23,
Oaxaca,MX20,,,,México,MX,2020-06-23,2021-06-23,
Puebla,MX21,,,,México,MX,2020-06-23,2021-06-23,
Querétaro de Arteaga,MX22,Queretaro de Arteaga,,,México,MX,2020-06-23,2021-06-23,
Quintana Roo,MX23,,,,México,MX,2020-06-23,2021-06-23,
San Luis Potosí,MX24,San Luis Potosi,,,México,MX,2020-06-23,2021-06-23,
Sinaloa,MX25,,,,México,MX,2020-06-23,2021-06-23,
Sonora,MX26,,,,México,MX,2020-06-23,2021-06-23,
Tabasco,MX27,,,,México,MX,2020-06-23,2021-06-23,
Tamaulipas,MX28,,,,México,MX,2020-06-23,2021-06-23,
Tlaxcala,MX29,,,,México,MX,2020-06-23,2021-06-23,
Veracruz de Ignacio de la Llave,MX30,,,,México,MX,2020-06-23,2021-06-23,
Yucatán,MX31,Yucatan,,,México,MX,2020-06-23,2021-06-23,
Zacatecas,MX32,,,,México,MX,2020-06-23,2021-06-23,
