#adm1+name+i_eng+is_latn,#adm1+name+i_aze+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_aze+is_latn,#adm1+name+alt2+i_aze+is_latn,#country+name+i_eng+is_latn,#country+name+i_aze+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Khojaly,Xocalı ,AZ70100001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Shusha,Şuşa ,AZ70200001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Khojavand,Xocavənd ,AZ70300001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Khankendi,Xankəndi,AZ70400002,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Astara,Astara ,AZ80100001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Lankaran,Lənkəran ,AZ80201002,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Lerik,Lerik ,AZ80300001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Yardimly,Yardımlı ,AZ80400001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Masally,Masallı ,AZ80500001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Jalilabad,Cəlilabad ,AZ80600001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Neftchala,Neftçala ,AZ80700001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Bilasuvar,Biləsuvar ,AZ80800001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Salyan,Salyan ,AZ80900001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Yevlakh,Yevlax ,AZ90101002,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Mingechevir,Mingəçevir ,AZ90200002,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Agdash,Ağdaş ,AZ90300001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Ujar,Ucar ,AZ90400001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Zardab,Zərdab ,AZ90500001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Kurdamir,Kürdəmir ,AZ90600001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Imishly,İmişli ,AZ90700001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Saatly,Saatlı ,AZ90800001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Sabirabad,Sabirabad ,AZ90900001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Hajigabul,Hacıqabul ,AZ91000001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Shirvan,Şirvan,AZ91100002,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
