#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Alibori,BJ01,,,,Benin,BJ,2015-08-07,2021-12-31,
Atakora,BJ02,,,,Benin,BJ,2015-08-07,2021-12-31,
Atlantique,BJ03,,,,Benin,BJ,2015-08-07,2021-12-31,
Borgou,BJ04,,,,Benin,BJ,2015-08-07,2021-12-31,
Collines,BJ05,,,,Benin,BJ,2015-08-07,2021-12-31,
Couffo,BJ06,,,,Benin,BJ,2015-08-07,2021-12-31,
Donga,BJ07,,,,Benin,BJ,2015-08-07,2021-12-31,
Littoral,BJ08,,,,Benin,BJ,2015-08-07,2021-12-31,
Mono,BJ09,,,,Benin,BJ,2015-08-07,2021-12-31,
Oueme,BJ10,,,,Benin,BJ,2015-08-07,2021-12-31,
Plateau,BJ11,,,,Benin,BJ,2015-08-07,2021-12-31,
Zou,BJ12,,,,Benin,BJ,2015-08-07,2021-12-31,
