#adm2+name+i_nld+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_nld+is_latn,#adm2+name+alt2+i_nld+is_latn,#adm1+name+i_nld+is_latn,#adm1+code+v_pcode,#country+name+i_nld+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Brownsweg,SR0101,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
Centrum,SR0102,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
Klaaskreek,SR0103,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
Kwakoegron,SR0104,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
Marechallkreek,SR0105,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
Sarakreek,SR0106,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
Alkmaar,SR0201,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
Bakkie,SR0202,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
Margaretha,SR0203,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
Meerzorg,SR0204,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
Nieuw Amsterdam,SR0205,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
Tamanredjo,SR0206,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
Johanna Maria,SR0301,,,,Coronie,SR03,Suriname,SR,2019-10-24,2019-10-24,
Totness,SR0302,,,,Coronie,SR03,Suriname,SR,2019-10-24,2019-10-24,
Welgelegen,SR0303,,,,Coronie,SR03,Suriname,SR,2019-10-24,2019-10-24,
Albina,SR0401,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
Galibi,SR0402,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
Moengo,SR0403,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
Moengo Tapu,SR0404,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
Patamacca,SR0405,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
Wanhatti,SR0406,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
Groot Henar,SR0501,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
Nieuw Nickerie,SR0502,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
Oostelijke Polders,SR0503,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
Wageningen,SR0504,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
Westelijke Polders,SR0505,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
Bigi Poika,SR0601,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
Carolina,SR0602,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
Para Noord,SR0603,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
Para Oost,SR0604,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
Para Zuid,SR0605,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
Beekhuizen,SR0701,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
