#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Mombasa,KE001,,,,Kenya,KE,2017-11-03,2019-10-31,
Kwale,KE002,,,,Kenya,KE,2017-11-03,2019-10-31,
Kilifi,KE003,,,,Kenya,KE,2017-11-03,2019-10-31,
Tana River,KE004,,,,Kenya,KE,2017-11-03,2019-10-31,
Lamu,KE005,,,,Kenya,KE,2017-11-03,2019-10-31,
Taita Taveta,KE006,,,,Kenya,KE,2017-11-03,2019-10-31,
Garissa,KE007,,,,Kenya,KE,2017-11-03,2019-10-31,
Wajir,KE008,,,,Kenya,KE,2017-11-03,2019-10-31,
Mandera,KE009,,,,Kenya,KE,2017-11-03,2019-10-31,
Marsabit,KE010,,,,Kenya,KE,2017-11-03,2019-10-31,
Isiolo,KE011,,,,Kenya,KE,2017-11-03,2019-10-31,
Meru,KE012,,,,Kenya,KE,2017-11-03,2019-10-31,
Tharaka-Nithi,KE013,,,,Kenya,KE,2017-11-03,2019-10-31,
Embu,KE014,,,,Kenya,KE,2017-11-03,2019-10-31,
Kitui,KE015,,,,Kenya,KE,2017-11-03,2019-10-31,
Machakos,KE016,,,,Kenya,KE,2017-11-03,2019-10-31,
Makueni,KE017,,,,Kenya,KE,2017-11-03,2019-10-31,
Nyandarua,KE018,,,,Kenya,KE,2017-11-03,2019-10-31,
Nyeri,KE019,,,,Kenya,KE,2017-11-03,2019-10-31,
Kirinyaga,KE020,,,,Kenya,KE,2017-11-03,2019-10-31,
Murang'a,KE021,Muranga,,,Kenya,KE,2017-11-03,2019-10-31,
Kiambu,KE022,,,,Kenya,KE,2017-11-03,2019-10-31,
Turkana,KE023,,,,Kenya,KE,2017-11-03,2019-10-31,
West Pokot,KE024,,,,Kenya,KE,2017-11-03,2019-10-31,
Samburu,KE025,,,,Kenya,KE,2017-11-03,2019-10-31,
Trans Nzoia,KE026,,,,Kenya,KE,2017-11-03,2019-10-31,
Uasin Gishu,KE027,,,,Kenya,KE,2017-11-03,2019-10-31,
Elgeyo-Marakwet,KE028,,,,Kenya,KE,2017-11-03,2019-10-31,
Nandi,KE029,,,,Kenya,KE,2017-11-03,2019-10-31,
Baringo,KE030,,,,Kenya,KE,2017-11-03,2019-10-31,
Laikipia,KE031,,,,Kenya,KE,2017-11-03,2019-10-31,
Nakuru,KE032,,,,Kenya,KE,2017-11-03,2019-10-31,
Narok,KE033,,,,Kenya,KE,2017-11-03,2019-10-31,
Kajiado,KE034,,,,Kenya,KE,2017-11-03,2019-10-31,
Kericho,KE035,,,,Kenya,KE,2017-11-03,2019-10-31,
Bomet,KE036,,,,Kenya,KE,2017-11-03,2019-10-31,
Kakamega,KE037,,,,Kenya,KE,2017-11-03,2019-10-31,
Vihiga,KE038,,,,Kenya,KE,2017-11-03,2019-10-31,
Bungoma,KE039,,,,Kenya,KE,2017-11-03,2019-10-31,
Busia,KE040,,,,Kenya,KE,2017-11-03,2019-10-31,
Siaya,KE041,,,,Kenya,KE,2017-11-03,2019-10-31,
Kisumu,KE042,,,,Kenya,KE,2017-11-03,2019-10-31,
Homa Bay,KE043,,,,Kenya,KE,2017-11-03,2019-10-31,
Migori,KE044,,,,Kenya,KE,2017-11-03,2019-10-31,
Kisii,KE045,,,,Kenya,KE,2017-11-03,2019-10-31,
Nyamira,KE046,,,,Kenya,KE,2017-11-03,2019-10-31,
Nairobi,KE047,,,,Kenya,KE,2017-11-03,2019-10-31,
