#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Baie-Mahault,GP0101,Baie-Mahault,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Baillif,GP0102,Baillif,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Basse-Terre,GP0103,Basse-Terre,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Bouillante,GP0104,Bouillante,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Capesterre-Belle-Eau,GP0105,Capesterre-Belle-Eau,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Deshaies,GP0106,Deshaies,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Gourbeyre,GP0107,Gourbeyre,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Goyave,GP0108,Goyave,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Lamentin,GP0109,Lamentin,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Petit-Bourg,GP0110,Petit-Bourg,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Pointe-Noire,GP0111,Pointe-Noire,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Saint-Claude,GP0112,Saint-Claude,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Sainte-Rose,GP0113,Sainte-Rose,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Terre-De-Bas,GP0114,Terre-De-Bas,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Terre-De-Haut,GP0115,Terre-De-Haut,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Trois-Rivières,GP0116,Trois-Rivieres,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Vieux-Fort,GP0117,Vieux-Fort,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Vieux-Habitants,GP0118,Vieux-Habitants,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
Anse-Bertrand,GP0201,Anse-Bertrand,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Capesterre-de-Marie-Galante,GP0202,Capesterre-de-Marie-Galante,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Grand-Bourg,GP0203,Grand-Bourg,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
La Désirade,GP0204,La Desirade,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Le Gosier,GP0205,Le Gosier,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Le Moule,GP0206,Le Moule,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Les Abymes,GP0207,Les Abymes,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Morne-à-l'Eau,GP0208,Morne-a-l'Eau,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Petit-Canal,GP0209,Petit-Canal,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Pointe-à-Pitre,GP0210,Pointe-a-Pitre,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Port-Louis,GP0211,Port-Louis,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Saint-François,GP0212,Saint-Francois,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Saint-Louis,GP0213,Saint-Louis,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
Sainte-Anne,GP0214,Sainte-Anne,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
