#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Artemisa,CU01,Artemisa,,,Cuba,CU,2017-09-07,2020-11-18,
Camagüey,CU02,Camaguey,,,Cuba,CU,2017-09-07,2020-11-18,
Ciego de Ávila,CU03,Ciego de Avila,,,Cuba,CU,2017-09-07,2020-11-18,
Cienfuegos,CU04,Cienfuegos,,,Cuba,CU,2017-09-07,2020-11-18,
Granma,CU05,Granma,,,Cuba,CU,2017-09-07,2020-11-18,
Guantánamo,CU06,Guantanamo,,,Cuba,CU,2017-09-07,2020-11-18,
Holguín,CU07,Holguin,,,Cuba,CU,2017-09-07,2020-11-18,
Isla de la Juventud,CU08,Isla de la Juventud,,,Cuba,CU,2017-09-07,2020-11-18,
La Habana,CU09,La Habana,,,Cuba,CU,2017-09-07,2020-11-18,
Las Tunas,CU10,Las Tunas,,,Cuba,CU,2017-09-07,2020-11-18,
Matanzas,CU11,Matanzas,,,Cuba,CU,2017-09-07,2020-11-18,
Mayabeque,CU12,Mayabeque,,,Cuba,CU,2017-09-07,2020-11-18,
Pinar del Río,CU13,Pinar del Rio,,,Cuba,CU,2017-09-07,2020-11-18,
Sancti Spíritus,CU14,Sancti Spiritus,,,Cuba,CU,2017-09-07,2020-11-18,
Santiago de Cuba,CU15,Santiago de Cuba,,,Cuba,CU,2017-09-07,2020-11-18,
Villa Clara,CU16,Villa Clara,,,Cuba,CU,2017-09-07,2020-11-18,
