#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Freweyni town,ET010313,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Tsaeda Emba,ET010314,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Atsbi town,ET010315,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Agulae,ET010316,,Tsirae Wenberta,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Geraleta,ET010317,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Zala Anbesa town,ET010318,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Selewa,ET010401,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Bora (TG),ET010402,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Neqsege,ET010403,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Emba Alaje,ET010404,,Alaje,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Endamehoni,ET010405,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Raya Azebo,ET010406,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Raya Alamata,ET010407,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Ofla,ET010408,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Maichew town,ET010409,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Korem town,ET010410,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
