#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Awdal,SO11,Awdal,,,Somalia,SO,2014-06-06,2021-09-30,
Woqooyi Galbeed,SO12,Woqooyi Galbeed,West Galbeed,,Somalia,SO,2014-06-06,2021-09-30,
Togdheer,SO13,Togdheer,Tog-dheer,,Somalia,SO,2014-06-06,2021-09-30,
Sool,SO14,Sool,,,Somalia,SO,2014-06-06,2021-09-30,
Sanaag,SO15,Sanaag,Sanag,,Somalia,SO,2014-06-06,2021-09-30,
Bari,SO16,Bari,,,Somalia,SO,2014-06-06,2021-09-30,
Nugaal,SO17,Nugaal,Nugal,,Somalia,SO,2014-06-06,2021-09-30,
Mudug,SO18,Mudug,,,Somalia,SO,2014-06-06,2021-09-30,
Galgaduud,SO19,Galgaduud,Galgadud,,Somalia,SO,2014-06-06,2021-09-30,
Hiraan,SO20,Hiraan,Hiiraan,,Somalia,SO,2014-06-06,2021-09-30,
Middle Shabelle,SO21,Middle Shabelle,Shabeellaha Dhexe,,Somalia,SO,2014-06-06,2021-09-30,
Banadir,SO22,Banadir,Banaadir,,Somalia,SO,2014-06-06,2021-09-30,
Lower Shabelle,SO23,Lower Shabelle,Shabeellaha Hoose,,Somalia,SO,2014-06-06,2021-09-30,
Bay,SO24,Bay,,,Somalia,SO,2014-06-06,2021-09-30,
Bakool,SO25,Bakool,,,Somalia,SO,2014-06-06,2021-09-30,
Gedo,SO26,Gedo,,,Somalia,SO,2014-06-06,2021-09-30,
Middle Juba,SO27,Middle Juba,Jubbada Dhexe,,Somalia,SO,2014-06-06,2021-09-30,
Lower Juba,SO28,Lower Juba,Jubbada Hoose,,Somalia,SO,2014-06-06,2021-09-30,
