#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Ainaro,TL01,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Aileu,TL02,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Baucau,TL03,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Bobonaro,TL04,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Covalima,TL05,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Dili,TL06,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Ermera,TL07,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Liquiçá,TL08,Liquica,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Lautém,TL09,Lautem,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Manufahi,TL10,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Manatuto,TL11,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Oecussi,TL12,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Viqueque,TL13,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
