#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Brest,BY001,,,,Belarus,BY,2015-01-01,2017-07-07,
Gomel,BY002,,,,Belarus,BY,2015-01-01,2017-07-07,
Grodno,BY003,,,,Belarus,BY,2015-01-01,2017-07-07,
Minsk,BY004,,,,Belarus,BY,2015-01-01,2017-07-07,
Minsk City,BY005,,,,Belarus,BY,2015-01-01,2017-07-07,
Mogilev,BY006,,,,Belarus,BY,2015-01-01,2017-07-07,
Vitebsk,BY007,,,,Belarus,BY,2015-01-01,2017-07-07,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
